miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.506438	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.012877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.012877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	1.012877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.506438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	28	14.180274	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1523	771.305608	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3858	1953.839157	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9690	4907.387619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	925	468.455474	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	110	55.708219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	2.025753	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.519315	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	1.012877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	2	1.012877	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	4.557945	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.519315	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.506438	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	2.025753	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.506438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.506438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	920	465.923283	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.506438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9782	4953.979947	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.506438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3965	2008.028061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.506438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1396	706.987938	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	32	16.206027	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	1.012877	N	precursor
