miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175960-94175983:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	1.561695	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	4.685086	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	143	44.664484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3809	1189.699433	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14323	4473.632181	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	37640	11756.441759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1125	351.381429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	36	11.244206	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	3.123390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	8	2.498712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.624678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	4.997425	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	7.183798	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.624678	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.312339	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.937017	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.624678	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	4.685086	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1097	342.635935	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	8	2.498712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	3.435730	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.937017	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.937017	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	37265	11639.314616	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.249356	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	5	1.561695	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	14641	4572.955999	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3892	1215.623574	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	146	45.601501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.312339	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	29	9.057832	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	53	16.553970	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	27	8.433154	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	103	32.170922	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3816	1191.885806	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	14635	4571.081964	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	37094	11585.904639	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1115	348.258038	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.249356	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.312339	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	1.874034	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	2.498712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	3	0.937017	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.624678	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.312339	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.937017	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	5.934442	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	21	6.559120	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.312339	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.312339	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	3	0.937017	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	17	5.309764	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	395	123.373924	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9329	2913.810977	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4636	1448.003826	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	9800	3060.922668	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1899	593.131852	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	7	2.186373	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.312339	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.312339	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.312339	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	12	3.748069	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.312339	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	2	0.624678	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.249356	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.937017	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	1.249356	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	26	8.120815	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.312339	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.312339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	1.249356	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.312339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.312339	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	7	2.186373	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	54	16.866309	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	45	14.055257	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	16	4.997425	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.312339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	368	114.940770	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1739	543.157604	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2111	659.347730	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	7982	2493.090279	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	277	86.517916	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	3	0.937017	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.312339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	3	0.937017	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.937017	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539859:+	1	0.312339	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539904:+	3	0.937017	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	18	5.622103	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.312339	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	44	13.742918	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	58	18.115665	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	179	55.908690	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	14	4.372747	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	1	0.312339	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	15	4.685086	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	73	22.800750	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	372	116.190126	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	1	0.312339	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	24	7.496137	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.312339	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	7	2.186373	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	5	1.561695	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	155	48.412552	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	806	251.745273	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1724	538.472518	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	54	16.866309	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	5	1.561695	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.312339	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.312339	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	1.561695	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	10	3.123390	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692859:+	1	0.312339	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.312339	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.312339	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	8	2.498712	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	68	21.239055	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	51	15.929291	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1316	411.038187	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	7660	2392.517106	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	28449	8885.733570	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	89	27.798175	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	0.624678	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	3	0.937017	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	0.624678	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.312339	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	1	0.312339	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	3	0.937017	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	4	1.249356	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	876	273.609006	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	2	0.624678	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	10	3.123390	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	1	0.312339	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	1	0.312339	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	28531	8911.345372	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	20	6.246781	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	2	0.624678	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	7575	2365.968287	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	10	3.123390	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	1313	410.101170	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	6	1.874034	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	48	14.992274	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	66	20.614377	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	7	2.186373	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	2	0.624678	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	1	0.312339	N	precursor
hsa-let-7g	hg38:chr3:52268280-52268301:-	9	2.811051	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	42	13.118240	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.312339	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	3	0.937017	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1400	437.274667	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	13	4.060408	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	345	107.756971	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	2	0.624678	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	26	8.120815	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	22	6.871459	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	2	0.624678	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603711:+	1	0.312339	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	153	47.787874	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	183	57.158046	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	198	61.843131	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	1	0.312339	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	3	0.937017	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	1	0.312339	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	5	1.561695	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603715:+	1	0.312339	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603714:+	1	0.312339	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603696-62603712:+	1	0.312339	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	9	2.811051	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	13	4.060408	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	14	4.372747	N	mature,MIMAT0004585
hsa-mir-100	hg38:chr11:122152240-122152262:-	2	0.624678	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152273-122152296:-	1	0.312339	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152273-122152297:-	2	0.624678	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152296:-	3	0.937017	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	20	6.246781	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	1	0.312339	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	14	4.372747	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	1950	609.061143	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	41	12.805901	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	11300	3529.431240	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	1	0.312339	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152296:-	1	0.312339	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	189	59.032080	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	49	15.304613	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	12	3.748069	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152280-122152297:-	3	0.937017	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152282-122152297:-	1	0.312339	Y	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058439-65058463:-	1	0.312339	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	5	1.561695	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058462:-	2	0.624678	N	mature,MIMAT0000099
