miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.103998	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.103998	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.311995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	0.519991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	1.767970	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	225	23.399605	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8264	859.441486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17450	1814.769352	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	38687	4023.380053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1448	150.589457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	56	5.823902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.311995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.311995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	2	0.207996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	4	0.415993	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.103998	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.103998	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.103998	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	1.247979	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	28	2.911951	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	45	4.679921	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.207996	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.207996	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.311995	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	17	1.767970	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.623989	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.207996	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146565-122146590:-	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	29	3.015949	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1378	143.309580	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	38734	4028.267971	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	0.623989	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17458	1815.601338	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	10	1.039982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8268	859.857479	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.415993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	225	23.399605	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	6	0.623989	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.207996	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.103998	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	5	0.519991	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	39	4.055932	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	90	9.359842	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	46	4.783919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	232	24.127593	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8245	857.465519	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	17517	1821.737235	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	38513	4005.284359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1422	147.885503	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112780:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.207996	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.311995	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.103998	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112821:+	1	0.103998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112799-46112820:+	1	0.103998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.103998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	0.727988	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	41	4.263928	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	46	4.783919	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.207996	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.103998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.103998	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.207996	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.207996	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	0.103998	N	precursor
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.103998	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	1.039982	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	32	3.327944	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	739	76.854702	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	23318	2425.031046	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9419	979.559457	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	21497	2235.650244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5824	605.685771	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	7	0.727988	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.207996	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.207996	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.207996	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.103998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.103998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.103998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.103998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.103998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.103998	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113742-46113765:+	1	0.103998	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	13	1.351977	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	105	10.919816	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.103998	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	6	0.623989	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	9	0.935984	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	6	0.623989	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.103998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	6	0.623989	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	18	1.871968	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	212	22.047628	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	174	18.095694	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	136	14.143761	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	0.311995	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1495	155.477374	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	9529	990.999264	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	8793	914.456557	N	mature,MIMAT0000064
