miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.093218	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.093218	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	0.745744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	1.118617	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	212	19.762225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	8038	749.286626	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20433	1904.724262	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	38118	3553.285344	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1193	111.209125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	51	4.754120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	4	0.372872	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	0.745744	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.093218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.093218	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	0.652526	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	47	4.381248	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	59	5.499865	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.093218	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	0.838962	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.372872	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.093218	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.093218	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	1.025398	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1254	116.895425	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.093218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.279654	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	38091	3550.768457	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	0.652526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.093218	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	20400	1901.648067	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	0.652526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	3	0.279654	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	8152	759.913482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	0.745744	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	215	20.041879	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146573-122146591:-	1	0.093218	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.093218	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.279654	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	61	5.686301	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	75	6.991353	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	26	2.423669	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	211	19.669007	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	8196	764.015076	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	20528	1913.579976	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	38119	3553.378562	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1224	114.098884	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.279654	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.186436	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	0.838962	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	0.466090	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	48	4.474466	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	42	3.915158	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.279654	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	5	0.466090	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.093218	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.093218	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.093218	N	precursor
hsa-let-7b	hg38:chr22:46113689-46113713:+	1	0.093218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	1.305053	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	45	4.194812	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	733	68.328825	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	17755	1655.086345	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8778	818.267977	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	18080	1685.382208	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4049	377.439854	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.186436	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.093218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	0.466090	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.186436	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.093218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.093218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.186436	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.093218	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.093218	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	10	0.932180	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	98	9.135368	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.186436	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	15	1.398271	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	0.372872	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539855:+	1	0.093218	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	30	2.796541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	180	16.779248	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	172	16.033503	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	96	8.948932	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.093218	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1433	133.581455	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	10424	971.704875	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	10242	954.739191	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	42507	3962.419333	N	mature,MIMAT0000064
