miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.290900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.163602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	2.472654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	278	40.435164	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7468	1086.222314	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20182	2935.476533	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	40232	5851.753635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1598	232.429467	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	95	13.817772	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	11	1.599953	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.581801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	4	0.581801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.290900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	14	2.036303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	23	3.345355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.581801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.290900	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	10	1.454502	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.145450	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	11	1.599953	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	41	5.963459	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	58	8.436113	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.145450	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.436351	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	0.727251	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.145450	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	2	0.290900	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.290900	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	16	2.327204	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	2	0.290900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.290900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1675	243.629134	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	13	1.890853	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	35	5.090758	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	40031	5822.518139	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	0.727251	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	18	2.618104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.290900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	20208	2939.258239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.290900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7470	1086.513215	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	266	38.689761	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.290900	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	0.581801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	55	7.999763	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	84	12.217819	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	26	3.781706	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	292	42.471467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7496	1090.294921	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	20361	2961.512124	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	39772	5784.846530	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1730	251.628897	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.145450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	3	0.436351	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	16	2.327204	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	33	4.799858	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	4	0.581801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.290900	N	mature,MIMAT0000062
