miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.423745	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	23	2.976922	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	372	48.148484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	10735	1389.446163	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	31138	4030.235177	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	62465	8084.932890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2209	285.913980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	109	14.108023	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.388294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	1.294314	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	3	0.388294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	15	1.941471	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	20	2.588628	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.388294	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	0.906020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.129431	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.388294	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	2.718060	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	3.235785	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.258863	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.258863	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.129431	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.388294	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.388294	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146545-122146568:-	1	0.129431	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	27	3.494648	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	8	1.035451	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2356	304.940397	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.647157	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	32	4.141805	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	3	0.388294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	0.776588	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	62968	8150.036888	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	1.164883	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	9	1.164883	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.388294	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	31102	4025.575646	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	11	1.423745	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	10608	1373.008374	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	10	1.294314	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	389	50.348818	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.388294	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.129431	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.129431	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.129431	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	4	0.517726	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	94	12.166552	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	129	16.696652	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	41	5.306688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	399	51.643132	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	10549	1365.371921	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	31115	4027.258254	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	63348	8199.220823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2299	297.562807	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	1.035451	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	12	1.553177	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	32	4.141805	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.258863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	0.906020	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.129431	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112798-46112822:+	1	0.129431	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.129431	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	0.776588	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	22	2.847491	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	27	3.494648	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.258863	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	5	0.647157	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.388294	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	3	0.388294	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.258863	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.129431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	0.906020	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	59	7.636453	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1225	158.553475	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	27095	3506.943995	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	12811	1658.145766	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	24100	3119.296929	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4642	600.820595	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	10	1.294314	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.129431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	0.776588	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.258863	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.388294	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.129431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.258863	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.129431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	26	3.365217	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	23	2.976922	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.129431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.129431	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	23	2.976922	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	17	2.200334	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	1.423745	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	56	7.248159	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.129431	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.129431	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.388294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	14	1.812040	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	0.517726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.129431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.388294	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	24	3.106354	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	264	34.169892	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	164	21.226751	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	86	11.131101	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.258863	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1687	218.350785	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	9947	1287.454214	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	10154	1314.246515	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	33784	4372.710682	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1068	138.232744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	14	1.812040	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	4	0.517726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.129431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	30	3.882942	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539859:+	1	0.129431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	3	0.388294	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539859:+	2	0.258863	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	20	2.588628	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	3	0.388294	N	mature,MIMAT0000064
