miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.223977	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.447954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.343861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.567838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.223977	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	72	16.126337	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3330	745.843101	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7771	1740.524545	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17679	3959.687740	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	760	170.222449	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	33	7.391238	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.671931	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.223977	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.223977	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.223977	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.671931	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	5.151469	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	26	5.823400	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.223977	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.447954	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.223977	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	2.239769	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.223977	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.223977	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.223977	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.343861	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	772	172.910172	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.223977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.447954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	17650	3953.192410	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.223977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7736	1732.685353	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.447954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3287	736.212094	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.671931	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	89	19.933945	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.223977	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.671931	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.223977	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.447954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	17	3.807607	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	39	8.735099	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	10	2.239769	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	96	21.501783	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3345	749.202754	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7503	1680.498734	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	17718	3968.422840	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	768	172.014265	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.447954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.223977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.223977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.447954	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.223977	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	1.119885	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	19	4.255561	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	19	4.255561	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.223977	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.671931	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.671931	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.223977	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.223977	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.343861	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	25	5.599423	N	mature,MIMAT0000063
