miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.215219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	18	1.936971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	53	5.703303	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	259	27.870857	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6803	732.067336	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	30577	3290.375268	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	109352	11767.312564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	8496	914.250197	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	711	76.510345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	4	0.430438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	0.753266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.215219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.430438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.215219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	3	0.322828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.107609	N	stemloop
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	1	0.107609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.107609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	0.860876	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	43	4.627208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	73	7.855493	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.322828	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.107609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.107609	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.215219	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	7	0.753266	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	3	0.322828	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.107609	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.107609	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	0.968485	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.322828	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.430438	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146562-122146585:-	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	137	14.742500	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	8496	914.250197	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.538047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	8	0.860876	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	0.538047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	109875	11823.592325	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	0.430438	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146592:-	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.215219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	30309	3261.535925	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	0.645657	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146593:-	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6904	742.935895	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.215219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	282	30.345875	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.107609	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	0.322828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	0.538047	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	60	6.456569	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	163	17.540346	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	96	10.330511	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	7	0.753266	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	275	29.592609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6795	731.206461	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	30430	3274.556673	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	109498	11783.023549	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	8404	904.350124	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	11	1.183704	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	0.645657	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	0.430438	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.107609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112796-46112818:+	1	0.107609	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	0.968485	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	36	3.873942	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	58	6.241350	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	3	0.322828	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.322828	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	11	1.183704	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.107609	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	2	0.215219	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113714:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	36	3.873942	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	68	7.317445	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	783	84.258228	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16640	1790.621855	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	8111	872.820545	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	36667	3945.717040	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	20152	2168.546371	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	31	3.335894	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	4	0.430438	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.430438	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113710:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.215219	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.322828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	8	0.860876	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	5	0.538047	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.107609	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113762:+	1	0.107609	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113741-46113766:+	1	0.107609	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113742-46113764:+	1	0.107609	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	14	1.506533	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	70	7.532664	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	4	0.430438	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	6	0.645657	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	5	0.538047	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.107609	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	10	1.076095	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	97	10.438120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	121	13.020748	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	120	12.913138	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	10	1.076095	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	818	88.024560	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	4353	468.424095	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4095	440.660847	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	30268	3257.123936	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	3201	344.457966	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	43	4.627208	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539866:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	11	1.183704	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539857:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.215219	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539864:+	1	0.107609	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539880-16539903:+	1	0.107609	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.215219	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	19	2.044580	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	57	6.133741	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	5	0.538047	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.107609	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	52	5.595693	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	141	15.172938	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	642	69.085290	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	141	15.172938	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	8	0.860876	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178866:+	2	0.215219	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	7	0.753266	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.107609	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178916:+	1	0.107609	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178893-94178915:+	1	0.107609	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	21	2.259799	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	128	13.774014	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	625	67.255929	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	9	0.968485	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	30	3.228285	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178919:+	1	0.107609	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692792-51692815:+	2	0.215219	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	12	1.291314	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	26	2.797847	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	424	45.626422	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1626	174.973025	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	6146	661.367904	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	357	38.416587	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	59	6.348960	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692813:+	1	0.107609	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.107609	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	3	0.322828	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.107609	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692834-51692858:+	1	0.107609	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692835-51692858:+	3	0.322828	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.107609	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	15	1.614142	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	65	6.994617	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.107609	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	2	0.215219	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	5	0.538047	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	36	3.873942	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	63	6.779398	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	1412	151.944595	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	8340	897.463117	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	41982	4517.661461	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	223	23.996915	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	19	2.044580	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	0.215219	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	3	0.322828	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	4	0.430438	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	6	0.645657	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	0.538047	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176430-94176455:+	1	0.107609	N	precursor
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	0.215219	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557243-53557268:-	1	0.107609	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	57	6.133741	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	3018	324.765430	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.107609	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.107609	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	3	0.322828	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557266:-	1	0.107609	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	41669	4483.979692	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	37	3.981551	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	8433	907.470799	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	19	2.044580	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557267:-	1	0.107609	N	mature,MIMAT0000067
