miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.177598	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	6	1.065589	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.177598	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.532795	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.598384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.243187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	345	61.271376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7461	1325.060099	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14547	2583.520877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22074	3920.302457	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	847	150.425667	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	54	9.590302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.355196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.355196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	9	1.598384	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.177598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.177598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.355196	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	1.065589	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.355196	N	mature,MIMAT0000062
