miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.184979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	13	5.134910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	53	20.934633	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1333	526.525759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6283	2481.741445	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	19261	7607.961480	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2494	985.112711	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	445	175.771915	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	1.184979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.394993	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176035:+	1	0.394993	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176012-94176035:+	1	0.394993	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.764951	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	5.924896	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	44	17.379695	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	1.579972	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.789986	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.394993	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	10	3.949931	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.394993	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	40	15.799723	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.789986	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2474	977.212850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.789986	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	1.184979	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	19082	7537.257721	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	2.764951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6309	2492.011265	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1386	547.460392	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	49	19.354660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.394993	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146585-122146606:-	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.394993	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	8	3.159945	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	21	8.294854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	27	10.664813	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.789986	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	51	20.144646	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1409	556.545233	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6230	2460.806813	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	19117	7551.082479	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2564	1012.762226	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	8	3.159945	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112782:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	1.579972	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	1.579972	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112778:+	1	0.394993	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	1.579972	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	5.134910	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	41	16.194716	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	3	1.184979	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.394993	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	1.579972	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	19	7.504868	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	210	82.948544	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	4320	1706.370053	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1433	566.025066	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6219	2456.461889	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3928	1551.532771	N	mature,MIMAT0000063
