miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.210355	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	8	1.682837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.472483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	40	8.414187	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	5	1.051773	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	124	26.083979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2972	625.174068	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17262	3631.142251	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	68415	14391.414501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	5253	1104.993063	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	258	54.271504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.210355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.210355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.472483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.841419	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.420709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.210355	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	3.155320	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	3.996739	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.420709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.420709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176037:+	1	0.210355	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.051773	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.210355	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	30	6.310640	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.210355	N	mature,MIMAT0000062
