miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.201122	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	4	0.804488	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.603366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.603366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	6	1.206732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	440	88.493671	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9024	1814.924739	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16173	3252.745768	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28321	5695.975569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1538	309.325604	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	162	32.581761	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.402244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	1.608976	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	4	0.804488	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.402244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	1.005610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	25	5.028049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	6	1.206732	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.804488	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.603366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.402244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.402244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.603366	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	13	2.614586	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	20	4.022440	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.603366	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	3.016830	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.804488	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.402244	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.201122	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	3.419074	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.603366	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.804488	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1477	297.057163	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	9	1.810098	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	23	4.625806	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	1.206732	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	28456	5723.127036	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.402244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	11	2.212342	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	4	0.804488	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16387	3295.785871	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.804488	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.402244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	9182	1846.702012	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	1.005610	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	403	81.052158	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.603366	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146592:-	1	0.201122	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.201122	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.402244	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	11	2.212342	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	5	1.005610	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	74	14.883026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	89	17.899856	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	25	5.028049	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	432	86.884695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9239	1858.165965	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16286	3275.472551	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	27953	5621.962681	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1536	308.923360	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	1.005610	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	6	1.206732	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	22	4.424684	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	3	0.603366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	3	0.603366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	1.407854	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	2	0.402244	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112777:+	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	3	0.603366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112758-46112775:+	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.201122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.206732	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	9	1.810098	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	17	3.419074	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	4	0.804488	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.201122	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	2	0.402244	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	7	1.407854	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.201122	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113707:+	1	0.201122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	81	16.290880	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	261	52.492837	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	3488	701.513463	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	40764	8198.536355	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	14023	2820.333513	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	23254	4676.890501	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5726	1151.624452	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.402244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.201122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	12	2.413464	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.402244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.402244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.201122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.402244	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.201122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	27	5.430293	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	20	4.022440	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.201122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	17	3.419074	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	14	2.815708	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	6	1.206732	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.201122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	11	2.212342	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	3	0.603366	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.201122	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.402244	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	19	3.821318	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	109	21.922296	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.201122	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	3	0.603366	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113748-46113766:+	1	0.201122	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539854:+	1	0.201122	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.402244	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.603366	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.201122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539854:+	1	0.201122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.603366	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	22	4.424684	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	82	16.492002	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	52	10.458343	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	20	4.022440	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.402244	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1289	259.246231	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	6191	1245.146172	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4111	826.812456	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	10283	2068.137311	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	416	83.666743	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	0.402244	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	6	1.206732	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	0.804488	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	20	4.022440	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539858:+	1	0.201122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	5	1.005610	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	6	1.206732	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	2	0.402244	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539861:+	1	0.201122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	2	0.402244	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539904:+	13	2.614586	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	54	10.860587	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	0.603366	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539902:+	2	0.402244	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.201122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	2	0.402244	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	12	2.413464	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	2	0.402244	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	126	25.341369	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	236	47.464787	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	543	109.209235	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	59	11.866197	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.201122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.201122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	6	1.206732	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	16	3.217952	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.201122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178844-94178863:+	2	0.402244	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178846-94178862:+	1	0.201122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178847-94178863:+	1	0.201122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.201122	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	7	1.407854	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	2	0.402244	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	45	9.050489	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	212	42.637860	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	757	152.249338	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.402244	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178913:+	1	0.201122	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	7	1.407854	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	48	9.653855	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	2	0.402244	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178898-94178916:+	1	0.201122	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.201122	N	precursor
hsa-let-7e	hg38:chr19:51692773-51692793:+	1	0.201122	N	precursor
hsa-let-7e	hg38:chr19:51692775-51692793:+	2	0.402244	N	precursor
hsa-let-7e	hg38:chr19:51692776-51692793:+	1	0.201122	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	3	0.603366	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	43	8.648245	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	28	5.631415	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	386	77.633084	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1206	242.553107	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1997	401.640592	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	43	8.648245	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	5	1.005610	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	2	0.402244	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.201122	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692796-51692815:+	1	0.201122	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692835-51692858:+	1	0.201122	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692857:+	1	0.201122	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.201122	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	6	1.206732	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	24	4.826927	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	18	3.620196	N	mature,MIMAT0000067
