miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	4	2.222020	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175986:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	23	12.776614	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	606	336.635995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3825	2124.806407	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	18655	10362.944709	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	3756	2086.476565	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	694	385.520430	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	1.111010	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	1.111010	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.555505	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	4	2.222020	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	25	13.887624	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	5	2.777525	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	1.111010	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.555505	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	39	21.664693	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	3824	2124.250902	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	18982	10544.594826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.111010	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3756	2086.476565	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	543	301.639184	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	31	17.220653	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	5	2.777525	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	22	12.221109	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	14	7.777069	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	24	13.332119	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	564	313.304788	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3760	2088.698585	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	19138	10631.253597	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	3757	2087.032070	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	2.777525	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	1.111010	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.555505	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	3.888535	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	8.888079	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	6	3.333030	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.555505	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	1.666515	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	5	2.777525	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	86	47.773425	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	1936	1075.457569	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	715	397.186034	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3383	1879.273222	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2543	1412.649070	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	1.666515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	1	0.555505	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	10	5.555049	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539858:+	3	1.666515	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	5	2.777525	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	9	4.999544	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	46	25.553227	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	150	83.325741	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	193	107.212454	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	1998	1109.898876	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	303	168.317998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	5	2.777525	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	1	0.555505	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539901:+	1	0.555505	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	1	0.555505	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	14	7.777069	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	5	2.777525	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	19	10.554594	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	105	58.328019	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	49	27.219742	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	10	5.555049	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	2	1.111010	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	26	14.443129	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	143	79.437207	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	8	4.444040	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	1	0.555505	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	2	1.111010	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	48	26.664237	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	257	142.764770	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1181	656.051338	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	72	39.996356	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	11	6.110554	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	1	0.555505	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	10	5.555049	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	1	0.555505	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	6	3.333030	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	6	3.333030	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	194	107.767959	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	1483	823.813830	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	9234	5129.532643	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	44	24.442217	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	15	8.332574	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	2	1.111010	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.555505	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	2	1.111010	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557242-53557263:-	1	0.555505	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	77	42.773881	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1706	947.691433	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557269:-	1	0.555505	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	1	0.555505	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	9241	5133.421177	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	9	4.999544	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	1467	814.925751	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	2	1.111010	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	201	111.656494	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	3	1.666515	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	4	2.222020	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	1	0.555505	N	mature,MIMAT0000067
