miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	1.408829	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	1.408829	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	7.044144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	31	21.836845	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1342	945.324062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4577	3224.104496	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13918	9804.038971	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	247	173.990345	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	1.408829	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	1.408829	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.704414	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.704414	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.704414	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	6.339729	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	27	19.019188	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	1.408829	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	4	2.817657	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	243	171.172688	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	3.522072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13809	9727.257806	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	1.408829	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4525	3187.474949	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1378	970.682979	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	33	23.245674	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	22	15.497116	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	61	42.969276	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	41	28.880988	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	29	20.428016	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1306	919.965146	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4380	3085.334868	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13850	9756.138795	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	246	173.285931	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	2.817657	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.704414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112797-46112820:+	1	0.704414	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	1.408829	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	13	9.157387	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	9.157387	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.704414	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	2.113243	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.704414	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.704414	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113709:+	4	2.817657	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	268	188.783047	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7759	5465.550968	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2882	2030.122167	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	5934	4179.994773	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1007	709.345254	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	2.113243	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	1.408829	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	1.408829	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.704414	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	2	1.408829	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	20	14.088287	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539837-16539857:+	1	0.704414	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	2	1.408829	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	1	0.704414	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	11	7.748558	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	90	63.397292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	84	59.170806	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	553	389.541137	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	24	16.905944	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	2	1.408829	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.704414	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539905:+	8	5.635315	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.704414	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.704414	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	65	45.786933	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	179	126.090169	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	551	388.132309	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	26	18.314773	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.704414	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	1.408829	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.704414	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178913:+	1	0.704414	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178894-94178917:+	1	0.704414	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	41	28.880988	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	272	191.600704	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	928	653.696520	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	2.817657	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	1.408829	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	3.522072	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	40	28.176574	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	1.408829	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	4.226486	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	131	92.278280	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	749	527.606351	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2625	1849.087678	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	83	58.466391	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	18	12.679458	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.704414	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	6	4.226486	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	31	21.836845	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	7	4.930900	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	8	5.635315	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	324	228.230251	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2245	1581.410223	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	12017	8464.947285	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	39	27.472160	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	2	1.408829	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	5	3.522072	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	2	1.408829	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	2.113243	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176428:+	1	0.704414	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.704414	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	8	5.635315	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	1.408829	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557223-53557246:-	1	0.704414	N	stemloop
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	2	1.408829	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557267:-	1	0.704414	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	229	161.310887	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	6	4.226486	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	11617	8183.181544	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	4	2.817657	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	1	0.704414	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2247	1582.819052	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	2.817657	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	347	244.431781	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	5	3.522072	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	6	4.226486	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	1	0.704414	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	1	0.704414	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	1	0.704414	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	2	1.408829	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	4	2.817657	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	81	57.057563	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.704414	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268303:-	2	1.408829	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	47	33.107475	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	1	0.704414	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	1	0.704414	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1760	1239.769262	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	14	9.861801	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	292	205.688991	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	4	2.817657	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	20	14.088287	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	1	0.704414	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	1	0.704414	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603668-62603691:+	1	0.704414	N	precursor
hsa-let-7i	hg38:chr12:62603670-62603691:+	1	0.704414	N	precursor
hsa-let-7i	hg38:chr12:62603672-62603691:+	1	0.704414	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603711:+	5	3.522072	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	169	119.046026	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	220	154.971158	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	126	88.756209	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	3	2.113243	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	4	2.817657	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	7	4.930900	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	25	17.610359	N	mature,MIMAT0004585
hsa-mir-100	hg38:chr11:122152275-122152296:-	1	0.704414	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	37	26.063331	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	221	155.675572	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	1	0.704414	N	mature,MIMAT0000098
