miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.130560	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.391679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.261120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	0.652799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	282	36.817856	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6285	820.568178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8865	1157.412394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13072	1706.677362	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	458	59.796376	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	19	2.480636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.261120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.261120	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.391679	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	0.652799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176032:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	1.044478	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	2.872315	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	19	2.480636	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	3	0.391679	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146544:-	1	0.130560	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	7	0.913918	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.391679	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.130560	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.130560	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146548-122146568:-	1	0.130560	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	0.783359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	447	58.360219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	0.652799	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13204	1723.911252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.261120	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8752	1142.659140	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	0.783359	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6480	846.027334	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.261120	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	280	36.556737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.391679	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	29	3.786233	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	35	4.569592	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	14	1.827837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.261120	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	256	33.423302	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6265	817.956982	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8766	1144.486976	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13374	1746.106414	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	446	58.229659	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	4	0.522239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.522239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.391679	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.130560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112817:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	1.566717	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	2.741755	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	2.088956	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.261120	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.130560	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.130560	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.130560	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	12	1.566717	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	67	8.747505	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	683	89.172325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	9952	1299.330868	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2423	316.346332	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3528	460.614882	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	683	89.172325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.130560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.261120	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.130560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.391679	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	1	0.130560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.130560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	1	0.130560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	5	0.652799	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.391679	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.130560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	0.522239	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.391679	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.130560	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.261120	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.130560	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.130560	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	0.522239	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	40	5.222391	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.261120	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.130560	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.261120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.391679	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.130560	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	3	0.391679	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	27	3.525114	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	117	15.275494	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	77	10.053103	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	30	3.916793	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1746	227.957365	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	6240	814.692988	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	4000	522.239095	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	10652	1390.722710	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	440	57.446300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	0.522239	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.130560	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	2	0.261120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	11	1.436158	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539858:+	1	0.130560	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.261120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539859:+	1	0.130560	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	3	0.391679	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	2	0.261120	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539880:+	1	0.130560	N	stemloop
hsa-let-7c	hg38:chr21:16539877-16539900:+	1	0.130560	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539879-16539901:+	1	0.130560	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539902:+	1	0.130560	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.130560	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.130560	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	8	1.044478	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	64	8.355826	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.130560	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178857:+	1	0.130560	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	5	0.652799	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	116	15.144934	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	134	17.495010	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	204	26.634194	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	16	2.088956	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	0.391679	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178848-94178863:+	1	0.130560	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	1	0.130560	N	mature,MIMAT0004484
