miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.244967	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.489933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.979866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	183	44.828890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3703	907.111356	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4646	1138.114869	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	5630	1379.162013	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	108	26.456394	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	6	1.469800	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.979866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.224833	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	15	3.674499	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	1.714766	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.244967	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	0.734900	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.734900	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146546:-	1	0.244967	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.489933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	114	27.926194	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.489933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	5712	1399.249275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.489933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4717	1155.507499	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3710	908.826122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.734900	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	171	41.889290	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.244967	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.489933	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.489933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	13	3.184566	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	12	2.939599	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	2	0.489933	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	137	33.560426	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3743	916.910021	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4537	1111.413509	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	5751	1408.802973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	127	31.110759	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.244967	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	1	0.244967	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	1.714766	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	11	2.694633	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	7	1.714766	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.244967	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.244967	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	9	2.204699	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	35	8.573831	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	555	135.956468	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	11253	2756.609260	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2869	702.809204	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	3794	929.403318	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	513	125.667871	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113709:+	1	0.244967	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.734900	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.244967	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.244967	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.244967	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.244967	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.489933	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113738-46113761:+	1	0.244967	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	0.979866	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	17	4.164432	N	mature,MIMAT0004482
