miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.250108	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.250542	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	178	44.519310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3787	947.160831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4960	1240.538083	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	6385	1596.942674	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	186	46.520178	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	10	2.501085	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.750325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	1.000434	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	7	1.750759	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.500217	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	2.501085	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	27	6.752929	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	5.252278	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.250108	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.250108	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.500217	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	3.751627	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.750325	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.750325	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.250108	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	5	1.250542	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146584:-	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	186	46.520178	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	1.250542	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	2.751193	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	6562	1641.211876	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	1.000434	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4902	1226.031791	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3811	953.163435	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	185	46.270070	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.500217	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	1.250542	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.250108	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	14	3.501519	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	20	5.002170	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	6	1.500651	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	211	52.772890	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3750	937.906817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4878	1220.029188	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	6449	1612.949617	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	188	47.020395	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.500217	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.250542	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	7	1.750759	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.250108	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112818:+	2	0.500217	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	8	2.000868	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	26	6.502821	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	4.501953	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	3	0.750325	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	2	0.500217	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.250108	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.250108	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.250108	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.250108	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.250108	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	29	7.253146	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	125	31.263561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	1084	271.117597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16140	4036.750941	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4171	1043.202489	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6157	1539.917939	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	1130	282.622588	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	3	0.750325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	1.000434	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.500217	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.250108	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.000434	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	7	1.750759	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	4	1.000434	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.250108	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	2	0.500217	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.250108	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	6	1.500651	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113762:+	1	0.250108	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	7	1.750759	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	58	14.506292	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.250108	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.250108	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.750325	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.250108	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.500217	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	11	2.751193	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	86	21.509330	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	46	11.504990	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	18	4.501953	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1517	379.414571	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	5722	1431.120749	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	3461	865.625465	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	8440	2110.915610	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	319	79.784607	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	6	1.500651	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	1.000434	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	13	3.251410	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.250108	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.750325	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539858:+	1	0.250108	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.500217	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.250108	N	stemloop
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.250108	N	stemloop
hsa-let-7c	hg38:chr21:16539883-16539900:+	1	0.250108	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	6	1.500651	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	22	5.502387	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	47	11.755099	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178857:+	2	0.500217	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.250108	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.500217	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	4	1.000434	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	62	15.506726	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	105	26.261391	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	193	48.270938	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	7	1.750759	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.250108	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	0.500217	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178911:+	3	0.750325	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178912:+	1	0.250108	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178913:+	3	0.750325	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	5	1.250542	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	22	5.502387	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	140	35.015188	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	325	81.285257	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	2	0.500217	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	3	0.750325	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	11	2.751193	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	30	7.503255	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	0.250108	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	5	1.250542	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	34	8.503688	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	15	3.751627	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	257	64.277881	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	621	155.317369	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	874	218.594816	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	23	5.752495	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	2	0.500217	N	mature,MIMAT0000066
