miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.783642	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.391821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	1.371373	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	104	20.374691	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3228	632.399049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8072	1581.389444	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22213	4351.759629	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	500	97.955243	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	8	1.567284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.391821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.587731	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.195910	N	stemloop
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.195910	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	0.979552	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	11	2.155015	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	16	3.134568	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.195910	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.391821	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.391821	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	18	3.526389	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.391821	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	1.763194	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	502	98.347064	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.587731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	22388	4386.043964	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.391821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8137	1594.123626	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	2	0.391821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3156	618.293494	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.587731	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	96	18.807407	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.195910	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.195910	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.195910	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146613:-	2	0.391821	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	39	7.640509	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	77	15.085107	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	20	3.918210	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	97	19.003317	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3117	610.652985	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8118	1590.401327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	22231	4355.286018	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	478	93.645212	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.195910	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.587731	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	7	1.371373	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.391821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	2	0.391821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.195910	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	0.783642	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	17	3.330478	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	10	1.959105	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.195910	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.391821	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	1.371373	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	25	4.897762	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	419	82.086494	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	10068	1972.426775	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	4747	929.987078	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12959	2538.803990	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2556	500.747203	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	1.175463	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.195910	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.195910	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	8	1.567284	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.391821	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	7	1.371373	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.195910	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.195910	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.391821	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	7	1.371373	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	46	9.011882	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.195910	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.587731	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.391821	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.195910	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.195910	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	1.567284	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	70	13.713734	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	67	13.126003	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	59	11.558719	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	0.587731	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	492	96.387959	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2580	505.449054	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2520	493.694425	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	12712	2490.414100	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	470	92.077928	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	1	0.195910	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.195910	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	13	2.546836	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.195910	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.587731	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.391821	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.195910	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.195910	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	10	1.959105	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	49	9.599614	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.195910	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539904:+	1	0.195910	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.195910	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.195910	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	52	10.187345	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	139	27.231558	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	446	87.376077	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	25	4.897762	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.195910	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	0.587731	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	21	4.114120	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	70	13.713734	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	330	64.650460	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.195910	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	0.587731	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	12	2.350926	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.195910	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	0.783642	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	8	1.567284	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	205	40.161650	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	891	174.556243	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2163	423.754382	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	66	12.930092	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	4	0.783642	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692814:+	1	0.195910	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.195910	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.195910	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	2	0.391821	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	0.979552	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	31	6.073225	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	2	0.391821	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	17	3.330478	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	28	5.485494	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	700	137.137340	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2983	584.400980	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	10583	2073.320675	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	46	9.011882	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	4	0.783642	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176371:+	1	0.195910	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.195910	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.195910	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176428:+	1	0.195910	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	5	0.979552	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	1	0.195910	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	286	56.030399	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.195910	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.391821	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.391821	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	10519	2060.782404	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	6	1.175463	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557266:-	1	0.195910	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3073	602.032924	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	5	0.979552	N	mature,MIMAT0000067
