miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.453064	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	8	1.812254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	4.530635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	159	36.018550	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5358	1213.757183	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	14634	3315.065812	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	38183	8649.662286	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2824	639.725697	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	132	29.902193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.226532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.226532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	12	2.718381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.226532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.906127	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.453064	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.226532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.226532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.226532	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.906127	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	18	4.077572	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	49	11.100056	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.453064	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.453064	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	8	1.812254	N	mature,MIMAT0004481
