miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	1.108248	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	5	2.770620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	14	7.757737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.554124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	47	26.043831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1420	786.856177	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3201	1773.751143	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10516	5827.168703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	914	506.469398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	79	43.775801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.554124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.554124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.554124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	2.770620	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.554124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.554124	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	5.541241	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	7.203613	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.554124	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	1.108248	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	1.108248	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	3.324744	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.554124	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.554124	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	26	14.407226	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	905	501.482282	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.554124	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10518	5828.276951	N	mature,MIMAT0000062
