miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.052501	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	7	0.367510	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175961:+	1	0.052501	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.052501	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	24	1.260036	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	37	1.942555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	36	1.890053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	1343	70.509488	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	36351	1908.481310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	76554	4019.198321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	148357	7788.962110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	6984	366.670338	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	298	15.645441	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.105003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.157504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	0.315009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	0.420012	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	2	0.105003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	2	0.105003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	30	1.575044	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	82	4.305121	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	3	0.157504	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	2	0.105003	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	14	0.735021	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	4	0.210006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175968-94175985:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.052501	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.052501	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176036:+	1	0.052501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.052501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	2	0.105003	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.052501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	0.315009	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	1.260036	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	61	3.202590	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.105003	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.052501	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.105003	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.210006	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.052501	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	2	0.105003	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	57	2.992584	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	33	1.732549	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	0.262507	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146587:-	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	89	4.672632	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.052501	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	3	0.157504	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	4	0.210006	N	mature,MIMAT0000062
