miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.211699	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.423398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.481893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	2.540388	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.423398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	219	46.362080	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5675	1201.391794	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	17004	3599.729703	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	34743	7355.058166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1732	366.662658	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	93	19.688006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	1.058495	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.423398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	7	1.481893	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	31	6.562669	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	0.846796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.846796	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.635097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.423398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.423398	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	4.869077	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	34	7.197766	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.635097	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.423398	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.635097	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	0.846796	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.635097	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146562-122146585:-	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146587:-	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	1.693592	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146585:-	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	4	0.846796	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	3	0.635097	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1730	366.239261	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	2	0.423398	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	11	2.328689	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	32	6.774368	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.693592	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	34320	7265.509492	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.423398	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	8	1.693592	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	17240	3649.690665	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	9	1.905291	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5625	1190.806844	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	223	47.208876	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.211699	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.211699	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.211699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	42	8.891358	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	58	12.278542	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	33	6.986067	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	219	46.362080	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5699	1206.472570	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16977	3594.013830	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	34491	7301.710020	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1710	362.005281	N	mature,MIMAT0000062
