miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.435145	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	2.175726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.740581	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.870291	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	134	58.309469	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6425	2795.808506	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7061	3072.560913	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16224	7059.797231	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1495	650.542213	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	142	61.790632	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	5.221744	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	17	7.397470	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	12	5.221744	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.435145	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.435145	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.305436	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	32	13.924649	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1443	627.914658	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.870291	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16482	7172.064717	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6964	3030.351819	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6353	2764.478045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	116	50.476854	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.435145	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	17	7.397470	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	35	15.230085	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	9	3.916308	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.870291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	132	57.439179	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6377	2774.921532	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7000	3046.017050	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16352	7115.495828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1485	646.190760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.305436	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.435145	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.435145	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	3.916308	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	9	3.916308	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	3.481162	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.435145	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112825:+	1	0.435145	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	7	3.046017	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	9	3.916308	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	797	346.810798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	13162	5727.382344	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3729	1622.656797	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8445	3674.801998	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5735	2495.558254	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	7	3.046017	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.870291	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.435145	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.435145	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.870291	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.435145	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113699-46113729:+	1	0.435145	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113765:+	1	0.435145	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113764:+	1	0.435145	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	25	10.878632	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	38	16.535521	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.435145	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.870291	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	2	0.870291	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	5	2.175726	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	25	10.878632	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	13	5.656889	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	27	11.748923	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	1.305436	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	167	72.669264	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	986	429.053259	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	757	329.404987	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	4576	1991.224860	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	784	341.153910	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	4	1.740581	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.435145	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.435145	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	2	0.870291	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.435145	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539877-16539901:+	1	0.435145	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.435145	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	4	1.740581	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	8	3.481162	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.435145	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	34	14.794940	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	49	21.322119	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	136	59.179760	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	28	12.184068	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	4	1.740581	N	mature,MIMAT0000065
