miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175939-94175962:+	1	0.223561	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.223561	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	2	0.447122	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	2.235611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	116	25.933088	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3638	813.315299	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8319	1859.804831	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	21382	4780.183544	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1393	311.420619	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	100	22.356110	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176012-94176034:+	1	0.223561	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.341367	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	29	6.483272	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	45	10.060250	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.447122	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.894244	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	13	2.906294	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.894244	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	12	2.682733	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1364	304.937347	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.670683	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	3	0.670683	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	21495	4805.445949	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8484	1896.692413	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	1.564928	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3737	835.447849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	106	23.697477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.223561	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	41	9.166005	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	65	14.531472	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	24	5.365467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	128	28.615821	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3622	809.738322	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8329	1862.040442	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	21261	4753.132650	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1422	317.903891	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	6	1.341367	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.447122	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	0.894244	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.223561	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.670683	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	26	5.812589	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	38	8.495322	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.223561	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.447122	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.447122	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.223561	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.223561	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.223561	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.223561	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.223561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.341367	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	38	8.495322	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	596	133.242418	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	15207	3399.693721	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3964	886.196220	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	9507	2125.395424	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4059	907.434525	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	6	1.341367	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.223561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.670683	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113710:+	1	0.223561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.223561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.223561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.117806	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.447122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.223561	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	2	0.447122	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113738-46113761:+	1	0.223561	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113763:+	1	0.223561	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	16	3.576978	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	58	12.966544	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	6	1.341367	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.223561	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	0.894244	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	15	3.353417	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	88	19.673377	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	91	20.344061	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	59	13.190105	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	2	0.447122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	733	163.870290	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3234	722.996613	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2422	541.464996	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	13646	3050.714837	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1024	228.926571	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	8	1.788489	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	19	4.247661	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	2	0.447122	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539845-16539861:+	1	0.223561	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	3	0.670683	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	17	3.800539	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	54	12.072300	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	5	1.117806	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.223561	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.223561	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.223561	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	46	10.283811	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	254	56.784521	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	840	187.791328	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	115	25.709527	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	5	1.117806	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.223561	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	2	0.447122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	2	0.447122	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.223561	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178865:+	1	0.223561	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	20	4.471222	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	123	27.498016	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	657	146.879646	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	0.670683	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	4	0.894244	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	23	5.141905	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	0.223561	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692771-51692793:+	1	0.223561	N	precursor
hsa-let-7e	hg38:chr19:51692772-51692793:+	1	0.223561	N	precursor
hsa-let-7e	hg38:chr19:51692793-51692810:+	1	0.223561	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	4	0.894244	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	4	0.894244	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	159	35.546216	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	646	144.420474	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1768	395.256033	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	69	15.425716	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	6	1.341367	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.223561	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	1	0.223561	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	15	3.353417	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	36	8.048200	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.223561	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176369:+	1	0.223561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	0.894244	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	28	6.259711	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	19	4.247661	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	500	111.780552	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2256	504.353853	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	7767	1736.399101	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	64	14.307911	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	1	0.223561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.223561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176375:+	1	0.223561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.223561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	4	0.894244	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.223561	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	1	0.223561	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	3	0.670683	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	1	0.223561	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	6	1.341367	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	519	116.028213	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	7721	1726.115290	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	5	1.117806	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2272	507.930830	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	0.894244	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	510	114.016163	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	7	1.564928	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	26	5.812589	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	19	4.247661	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	3	0.670683	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.223561	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	3	0.670683	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	2	0.447122	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	5	1.117806	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	55	12.295861	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	91	20.344061	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	2	0.447122	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1274	284.816848	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	9	2.012050	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	172	38.452510	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	4	0.894244	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	19	4.247661	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	2	0.447122	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	2	0.447122	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603669-62603691:+	2	0.447122	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	1	0.223561	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	6	1.341367	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	164	36.664021	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	129	28.839383	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	351	78.469948	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	1	0.223561	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	1	0.223561	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603713:+	1	0.223561	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603766:+	1	0.223561	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603767:+	10	2.235611	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	43	9.613128	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	52	11.625177	N	mature,MIMAT0004585
hsa-mir-100	hg38:chr11:122152240-122152262:-	1	0.223561	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152240-122152263:-	2	0.447122	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152273-122152296:-	1	0.223561	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152273-122152297:-	8	1.788489	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152296:-	3	0.670683	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	40	8.942444	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152293:-	1	0.223561	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	20	4.471222	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	4045	904.304669	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152294:-	2	0.447122	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	1	0.223561	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	86	19.226255	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	29283	6546.539833	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	7	1.564928	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	291	65.056282	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	89	19.896938	N	mature,MIMAT0000098
