miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.268296	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.804889	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	177	47.488464	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4134	1109.137344	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6447	1729.706932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	9158	2457.058489	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	513	137.636056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	36	9.658671	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.878075	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.268296	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	1.341482	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	24	6.439114	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	17	4.561039	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.268296	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	1.073186	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	4.024446	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.536593	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.536593	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.878075	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	530	142.197095	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	1.341482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	9287	2491.668726	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.804889	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	6277	1684.096543	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.804889	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4221	1132.479131	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	181	48.561650	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146574-122146591:-	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.804889	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	4	1.073186	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	23	6.170817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	34	9.122078	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	9	2.414668	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	188	50.439724	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4142	1111.283715	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6386	1713.340851	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	9273	2487.912576	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	538	144.343467	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.268296	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.536593	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	5	1.341482	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.341482	N	mature,MIMAT0000062
