miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.046073	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	18	0.829316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	43	1.981144	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	103	4.745531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	602	27.736019	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	21664	998.128095	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	59705	2750.795694	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	148794	6855.403979	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	6693	308.367399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	331	15.250203	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	3	0.138219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.138219	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	5	0.230366	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	25	1.151828	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.092146	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	0.276439	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175985:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.046073	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.046073	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.046073	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176010-94176034:+	2	0.092146	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	5	0.230366	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	47	2.165437	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	100	4.607312	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	0.184292	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.092146	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.092146	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	9	0.414658	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146521-122146544:-	1	0.046073	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	51	2.349729	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	12	0.552877	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.046073	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.046073	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146547:-	1	0.046073	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	2	0.092146	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.046073	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	99	4.561239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	6755	311.223933	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	0.276439	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	29	1.336121	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	148430	6838.633362	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	57	2.626168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.138219	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	59745	2752.638619	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	31	1.428267	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	2	0.092146	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	21749	1002.044310	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	13	0.598951	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	575	26.492045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	2	0.092146	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	3	0.138219	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	9	0.414658	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.092146	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	13	0.598951	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	2	0.092146	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.092146	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.092146	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	186	8.569601	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	339	15.618788	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	117	5.390555	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	613	28.242823	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	21868	1007.527012	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	59938	2761.530732	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	148413	6837.850119	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	6794	313.020785	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	14	0.645024	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.092146	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	6	0.276439	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	20	0.921462	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	3	0.138219	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	0.138219	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	11	0.506804	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.046073	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.046073	N	mature,MIMAT0000062
