miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175961:+	1	0.242968	N	precursor
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.242968	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175979:+	1	0.242968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.728903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.485935	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.242968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	307	74.591073	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7169	1741.835193	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5736	1393.662529	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	6076	1476.271535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	81	19.680381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	2	0.485935	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	3	0.728903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.242968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.242968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.242968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.242968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.728903	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.214838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.242968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.242968	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	9	2.186709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	20	4.859353	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	9	2.186709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.242968	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.242968	N	mature,MIMAT0004481
