miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.320622	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	1.763420	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	132	21.161039	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3870	620.403185	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9222	1478.387125	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	21447	3438.187884	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	870	139.470483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	37	5.931503	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	0.801555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.480933	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	0.801555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	4	0.641244	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	1.122176	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	20	3.206218	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	3.526840	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.160311	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.160311	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.160311	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	50	8.015545	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	14	2.244353	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.320622	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	4	0.641244	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146548:-	1	0.160311	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	1.603109	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	872	139.791105	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	4	0.641244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	6	0.961865	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	8	1.282487	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	21705	3479.548096	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.320622	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146593:-	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9103	1459.310128	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.641244	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3901	625.372823	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	130	20.840417	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.160311	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.160311	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	47	7.534612	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	98	15.710468	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	40	6.412436	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	141	22.603837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3930	630.021839	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9118	1461.714791	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	21527	3451.012756	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	878	140.752971	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	0.961865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.320622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	9	1.442798	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.160311	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	0.641244	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112789-46112811:+	1	0.160311	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	1.442798	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	1.122176	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	22	3.526840	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.320622	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.160311	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.160311	N	mature,MIMAT0004481
