miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.422278	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.266833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	49	20.691598	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1130	477.173578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	3166	1336.930575	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	8347	3524.750318	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	574	242.387287	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	70	29.559425	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.266833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.844555	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	4	1.689110	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	3	1.266833	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.844555	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.422278	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	2.111388	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.266833	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	2	0.844555	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	546	230.563517	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.844555	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.844555	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	8285	3498.569113	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	3307	1396.471703	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1173	495.331511	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	48	20.269320	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.422278	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.422278	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	8	3.378220	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	22	9.290105	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	7	2.955943	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	62	26.181205	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1105	466.616641	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	3359	1418.430133	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	8239	3479.144348	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	599	252.944224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.422278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	4	1.689110	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	8	3.378220	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.422278	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.422278	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.422278	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	10	4.222775	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	129	54.473798	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	2607	1100.877450	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	969	409.186900	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	2532	1069.206638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	579	244.498674	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.422278	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	1.266833	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	13	5.489608	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.422278	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.422278	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.422278	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	7	2.955943	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	67	28.292593	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	114	48.139635	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	78	32.937645	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	15	6.334163	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	676	285.459592	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2196	927.321397	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2630	1110.589833	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	17634	7446.441489	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	5199	2195.420738	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	16	6.756440	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	1.266833	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	6	2.533665	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	1.266833	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.844555	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	2	0.844555	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.422278	N	mature,MIMAT0000064
