miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.555072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.497826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	76	21.092749	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2302	638.888257	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	6911	1918.052451	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	25645	7117.415006	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1785	495.402058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	177	49.123902	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.555072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	1.110145	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.555072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.555072	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176010-94176034:+	1	0.277536	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.110145	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	5.273187	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	40	11.101447	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.555072	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.277536	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.277536	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	6	1.665217	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.277536	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	2.497826	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.110145	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.277536	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	32	8.881157	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1708	474.031773	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.110145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.555072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	25531	7085.775883	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.110145	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7032	1951.634327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2195	609.191887	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	78	21.647821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.277536	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	14	3.885506	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	45	12.489128	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	40	11.101447	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.555072	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	75	20.815213	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2292	636.112895	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	6895	1913.611872	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	25237	7004.180250	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1837	509.833939	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	0.832609	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.387681	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112777:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.277536	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.665217	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	15	4.163043	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	31	8.603621	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.277536	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.277536	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.832609	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.277536	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	1.665217	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	20	5.550723	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	253	70.216650	N	mature,MIMAT0000063
