miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.345712	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.691425	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	5	1.728562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	242	83.662423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5378	1859.241776	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8764	3029.824271	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	13367	4621.138867	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	576	199.130395	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	43	14.865637	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.691425	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.037137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	1.037137	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	2.419987	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	1.728562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.691425	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	13	4.494262	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	17	5.877112	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	14	4.839975	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.691425	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	3	1.037137	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	1.728562	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.345712	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.345712	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	10	3.457125	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	640	221.255994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	9	3.111412	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	2	0.691425	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	13398	4631.855954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.691425	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.691425	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8500	2938.556173	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	1.382850	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5352	1850.253252	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	1.037137	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	205	70.871061	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.345712	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	1.037137	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	3	1.037137	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	23	7.951387	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	35	12.099937	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	7	2.419987	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	218	75.365323	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5518	1907.641525	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	8524	2946.853273	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	13383	4626.670267	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	700	241.998744	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.345712	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.691425	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	3	1.037137	N	mature,MIMAT0000062
