miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	1.151302	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	1.465293	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	34	3.558569	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	292	30.561826	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9611	1005.923656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	22991	2406.325126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	76853	8043.726018	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	5352	560.160588	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	433	45.319420	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175992:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.313991	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	5	0.523319	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	27	2.825922	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	5	0.523319	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	2	0.209328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.104664	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.104664	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.209328	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	1.674621	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	74	7.745120	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	5	0.523319	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	7	0.732647	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.104664	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	2.093276	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.209328	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.104664	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	1	0.104664	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	64	6.698482	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.209328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	5757	602.549421	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	3	0.313991	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	5	0.523319	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	19	1.988612	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.104664	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	6	0.627983	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	76991	8058.169621	N	mature,MIMAT0000062
