miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	3.378821	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	96	29.487897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3157	969.721766	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	7614	2338.758799	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24440	7507.127010	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1022	313.923233	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	70	21.501591	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	2.457325	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	19	5.836146	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176008-94176029:+	1	0.307166	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	1.228662	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	27	8.293471	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	48	14.743948	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.307166	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.307166	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	1.228662	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	4	1.228662	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.307166	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	6.143312	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	8	2.457325	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146547:-	1	0.307166	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	5	1.535828	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146547:-	1	0.307166	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	6	1.842994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1029	316.073392	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	10	3.071656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	1.535828	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	24195	7431.871440	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.842994	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	1.228662	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	7538	2315.414214	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.921497	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3103	953.134824	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	1.228662	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	119	36.552705	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	2	0.614331	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.307166	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112771:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	42	12.900955	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	94	28.873565	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	80	24.573247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	99	30.409393	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3225	990.609026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	7547	2318.178705	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	24184	7428.492619	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1051	322.831035	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	1.535828	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	3	0.921497	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	2.457325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	1.228662	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	8	2.457325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.614331	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112775:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.307166	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	3.685987	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	27	8.293471	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	43	13.208120	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.307166	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.614331	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.307166	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.307166	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.307166	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	0.307166	N	precursor
hsa-let-7b	hg38:chr22:46113671-46113691:+	1	0.307166	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.307166	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113709:+	1	0.307166	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	11	3.378821	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	33	10.136464	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	529	162.490597	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12689	3897.624166	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6234	1914.870286	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	22493	6909.075607	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7861	2414.628700	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	10	3.071656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	7	2.150159	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	1.842994	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	8	2.457325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.614331	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.228662	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	8	2.457325	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	5	1.535828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.307166	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113740-46113763:+	1	0.307166	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	3.378821	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	59	18.122770	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	4	1.228662	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.307166	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.307166	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	6	1.842994	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	65	19.965763	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	93	28.566400	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	89	27.337737	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	1.228662	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	536	164.640756	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2559	786.036744	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2808	862.520976	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	17411	5348.060080	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1574	483.478638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	6	1.842994	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	2	0.614331	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	2	0.614331	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	20	6.143312	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	0.921497	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.921497	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.307166	N	stemloop
hsa-let-7c	hg38:chr21:16539860-16539882:+	1	0.307166	N	stemloop
hsa-let-7c	hg38:chr21:16539866-16539889:+	1	0.307166	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539867-16539889:+	1	0.307166	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.307166	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	8	2.457325	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	42	12.900955	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	309	94.914167	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	11	3.378821	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.307166	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	3	0.921497	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.307166	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.307166	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	47	14.436783	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	188	57.747131	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	799	245.425306	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	80	24.573247	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	6	1.842994	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.307166	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	8	2.457325	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178845-94178862:+	1	0.307166	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178915:+	1	0.307166	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.307166	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	39	11.979458	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	151	46.382004	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	742	227.916867	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	9	2.764490	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	5	1.535828	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	23	7.064809	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	2	0.614331	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	10	3.071656	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	148	45.460507	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	676	207.643939	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	2348	721.224804	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	97	29.795062	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	10	3.071656	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.307166	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	8	2.457325	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	22	6.757643	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692860:+	1	0.307166	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	5	1.535828	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	18	5.528981	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	21	6.450477	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	636	195.357315	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2407	739.347574	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	8979	2758.039829	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	55	16.894107	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	3	0.921497	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176375:+	1	0.307166	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176355-94176377:+	2	0.614331	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176357-94176375:+	1	0.307166	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	8	2.457325	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.307166	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176403-94176426:+	1	0.307166	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	6	1.842994	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	6	1.842994	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	466	143.139165	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.307166	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.307166	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.614331	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	9139	2807.186323	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	7	2.150159	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557265:-	1	0.307166	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2441	749.791204	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	1.228662	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	668	205.186614	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	3	0.921497	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	12	3.685987	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	15	4.607484	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	4	1.228662	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557252-53557268:-	2	0.614331	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	2	0.614331	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557288:-	1	0.307166	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557289:-	1	0.307166	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	5	1.535828	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	1	0.307166	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	163	50.067991	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268302:-	1	0.307166	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	5	1.535828	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	105	32.252387	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	1	0.307166	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.307166	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	3	0.921497	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1850	568.256341	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	30	9.214968	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	285	87.542193	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	6	1.842994	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	40	12.286624	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	5	1.535828	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	8	2.457325	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	3	0.921497	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	2	0.614331	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603668-62603691:+	1	0.307166	N	precursor
hsa-let-7i	hg38:chr12:62603669-62603691:+	2	0.614331	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603710:+	2	0.614331	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	7	2.150159	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	262	80.477384	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	386	118.565918	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	596	183.070691	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	1	0.307166	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603712:+	1	0.307166	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603714:+	1	0.307166	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603714:+	1	0.307166	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	17	5.221815	N	mature,MIMAT0004585
