miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.091901	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	2	0.183803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.091901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	10	0.919015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	24	2.205635	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	40	3.676058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	633	58.173624	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	16720	1536.592404	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	40847	3753.898919	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	90421	8309.821877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	3973	365.124499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	228	20.953533	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.183803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.091901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	16	1.470423	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	2	0.183803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	3	0.275704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	10	0.919015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.091901	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	40	3.676058	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	121	11.120077	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	6	0.551409	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	2	0.183803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	7	0.643310	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	36	3.308453	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	3	0.275704	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	9	0.827113	N	mature,MIMAT0000062
