miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175938-94175962:+	1	0.195015	N	precursor
hsa-let-7a-1	hg38:chr9:94175960-94175982:+	1	0.195015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.585046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.780062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	3.120247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	90	17.551390	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5129	1000.234214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11079	2160.576107	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	35075	6840.166707	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	3471	676.898607	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	541	105.503355	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	3	0.585046	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.390031	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.195015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.390031	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.195015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.195015	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.195015	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.195015	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	1.950154	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	4	0.780062	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	4.290340	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.390031	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.390031	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	4	0.780062	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	3.900309	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.390031	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.195015	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	3	0.585046	N	mature,MIMAT0010195
