miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.079708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	11	0.876789	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	1.275330	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	31	2.470951	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	301	23.992141	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	11678	930.831296	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	28663	2284.673526	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	62770	5003.277996	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1351	107.685655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	2.311535	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.079708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.079708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	0.557957	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.079708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.159416	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.079708	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.079708	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.079708	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.159416	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	13	1.036205	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	1.673870	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.159416	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.159416	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.079708	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	24	1.912995	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.239124	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	1	0.079708	N	stemloop
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.079708	N	stemloop
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.079708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	25	1.992703	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1349	107.526239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.079708	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.239124	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	0.717373	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	62842	5009.016980	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	15	1.195622	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.079708	N	mature,MIMAT0000062
