miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.168093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.336186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.176650	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.680929	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.336186	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175986:+	1	0.168093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	109	18.322127	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4151	697.753657	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8826	1483.587997	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	22398	3764.944930	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1373	230.791561	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	110	18.490220	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.168093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.504279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.504279	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.168093	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.504279	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	31	5.210880	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	40	6.723716	N	mature,MIMAT0004481
