miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175939-94175962:+	1	0.220660	N	precursor
hsa-let-7a-1	hg38:chr9:94175941-94175962:+	1	0.220660	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.220660	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.661980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.882640	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	16	3.530559	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	0.661980	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	150	33.098992	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5234	1154.934177	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	12662	2793.996284	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	36597	8075.492182	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1789	394.760650	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	141	31.113053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.441320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.441320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.103300	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.441320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.220660	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.323960	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	4.633859	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	26	5.737159	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	3	0.661980	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.103300	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.220660	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	1.985940	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.220660	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.220660	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146564-122146590:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	31	6.840458	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1875	413.737406	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	2	0.441320	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.441320	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	1.103300	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	36201	7988.110842	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	1.103300	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	12631	2787.155826	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.882640	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146586:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5180	1143.018540	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	149	32.878333	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.220660	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.220660	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.441320	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	20	4.413199	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	62	13.680917	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	56	12.356957	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	162	35.746912	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5335	1177.220832	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	12759	2815.400299	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	36703	8098.882137	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1835	404.911008	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	9	1.985940	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.441320	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.882640	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	1.103300	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112777:+	1	0.220660	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112795-46112817:+	1	0.220660	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112799-46112821:+	1	0.220660	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112799-46112822:+	1	0.220660	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	4	0.882640	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	21	4.633859	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	21	4.633859	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.441320	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.441320	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.220660	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.220660	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	9	1.985940	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	36	7.943758	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	517	114.081194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12275	2708.600884	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5122	1130.220263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	17197	3794.689156	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7873	1737.255785	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	1.765280	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.220660	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.220660	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	4	0.882640	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.220660	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.220660	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	5	1.103300	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.661980	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.441320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113711:+	1	0.220660	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113742-46113766:+	1	0.220660	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	22	4.854519	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	93	20.521375	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.220660	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.220660	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.441320	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	0.882640	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.220660	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.220660	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	1.765280	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	69	15.225537	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	67	14.784217	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	86	18.976756	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	5	1.103300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	560	123.569572	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3118	688.017723	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2773	611.890041	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	17479	3856.915262	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1400	308.923930	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	14	3.089239	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539864:+	1	0.220660	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.220660	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	0.882640	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	7	1.544620	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	2	0.441320	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539880-16539901:+	1	0.220660	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.441320	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	13	2.868579	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	28	6.178479	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	2	0.441320	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	1	0.220660	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.661980	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	45	9.929698	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	145	31.995693	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	744	164.171003	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	122	26.920514	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	6	1.323960	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	3	0.661980	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	13	2.868579	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	3	0.661980	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	24	5.295839	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	111	24.493254	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	548	120.921652	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	0.882640	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178919:+	1	0.220660	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	2	0.441320	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	1	0.220660	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	27	5.957819	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692810:+	3	0.661980	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	6	1.323960	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	12	2.647919	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	291	64.212045	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1146	252.876302	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3986	879.550560	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	162	35.746912	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	23	5.075179	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692816:+	1	0.220660	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692835-51692859:+	1	0.220660	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.220660	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	22	4.854519	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	44	9.709038	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692839-51692859:+	2	0.441320	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	4	0.882640	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	16	3.530559	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	28	6.178479	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	884	195.063396	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	4228	932.950268	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	17393	3837.938506	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	112	24.713914	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	3	0.661980	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176379:+	1	0.220660	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.220660	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	3	0.661980	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	4	0.882640	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176429:+	2	0.441320	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	7	1.544620	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176431:+	1	0.220660	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	2	0.441320	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	10	2.206599	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1005	221.763250	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.220660	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.441320	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	17794	3926.423146	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	7	1.544620	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	4280	944.424585	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	9	1.985940	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	917	202.345174	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.220660	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	22	4.854519	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	21	4.633859	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	7	1.544620	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557288:-	1	0.220660	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	2	0.441320	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	14	3.089239	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	215	47.441889	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	3	0.661980	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.220660	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268355:-	2	0.441320	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1996	440.437260	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	20	4.413199	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	334	73.700423	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	4	0.882640	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	43	9.488378	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268359:-	2	0.441320	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	13	2.868579	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	4	0.882640	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603710:+	1	0.220660	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	7	1.544620	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	262	57.812907	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	198	43.690670	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	1049	231.472287	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	2	0.441320	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603692-62603714:+	1	0.220660	N	mature,MIMAT0000415
