miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.172919	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	4.691677	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	103	40.270225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3015	1178.783769	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9562	3738.484377	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26951	10537.114877	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2430	950.064530	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	266	103.998833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	3	1.172919	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.172919	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175985:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	7	2.736811	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	23	8.992380	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.390973	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	1.172919	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.390973	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	4	1.563892	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.390973	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.390973	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	31	12.120165	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2503	978.605563	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	1.172919	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	1.954865	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	26768	10465.566807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9706	3794.784498	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3030	1184.648365	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	77	30.104925	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.781946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	28	10.947246	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	56	21.894491	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	23	8.992380	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	106	41.443144	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3055	1194.422691	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9716	3798.694228	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	26879	10508.964817	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2477	968.440264	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.172919	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	1.954865	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.390973	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	0.781946	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.781946	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	6	2.345838	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	31	12.120165	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.390973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.390973	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.781946	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.781946	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	2	0.781946	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	2	0.781946	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.390973	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.390973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	2.345838	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	25	9.774326	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	612	239.275511	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12282	4801.931094	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	5496	2148.787925	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	12091	4727.255240	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4130	1614.718728	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	9	3.518758	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.781946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.781946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.781946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.390973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.781946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.781946	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.390973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	1.172919	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.390973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.390973	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	5	1.954865	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	38	14.856976	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	3	1.172919	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.390973	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	6	2.345838	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	6	2.345838	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	50	19.548653	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	61	23.849357	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	33	12.902111	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	3	1.172919	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	308	120.419702	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	2347	917.613766	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2301	899.629006	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	13696	5354.766998	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1941	758.878705	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	19	7.428488	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	1.954865	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.781946	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.390973	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539902:+	1	0.390973	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.390973	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	15	5.864596	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	68	26.586168	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	1	0.390973	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.390973	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.390973	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	29	11.338219	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	71	27.759087	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	182	71.157096	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	18	7.037515	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.390973	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.390973	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178893-94178917:+	1	0.390973	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	6	2.345838	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	33	12.902111	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	204	79.758504	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	6	2.345838	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	3	1.172919	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	9	3.518758	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	148	57.864013	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	712	278.372817	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1747	683.029932	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	70	27.368114	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	9	3.518758	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692813:+	1	0.390973	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692859:+	1	0.390973	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692858:+	1	0.390973	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	10	3.909731	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	20	7.819461	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	1	0.390973	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	10	3.909731	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	20	7.819461	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	540	211.125451	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2897	1132.648948	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	11157	4362.086404	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	45	17.593788	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	4	1.563892	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176354-94176375:+	1	0.390973	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	2	0.781946	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	1	0.390973	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176407-94176430:+	2	0.781946	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	1	0.390973	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557198-53557218:-	1	0.390973	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	20	7.819461	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	886	346.402129	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557267:-	2	0.781946	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	11337	4432.461555	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	7	2.736811	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2874	1123.656568	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	1.563892	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	497	194.313610	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	3	1.172919	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	13	5.082650	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	18	7.037515	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	3	1.172919	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557286:-	1	0.390973	N	precursor
hsa-let-7f-2	hg38:chrX:53557268-53557291:-	1	0.390973	N	precursor
hsa-let-7g	hg38:chr3:52268279-52268301:-	1	0.390973	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	30	11.729192	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268355:-	1	0.390973	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268358:-	154	60.209851	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268357:-	2	0.781946	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1249	488.325349	N	mature,MIMAT0000414
