miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	1.005448	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	2.346044	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	63	21.114398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2002	670.968641	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5308	1778.971803	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16459	5516.220214	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1153	386.426995	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	99	33.179768	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	1.005448	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	1.675746	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.335149	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	2.346044	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	35	11.730221	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	50	16.757459	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	4	1.340597	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	14	4.692088	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	1.005448	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	26	8.713878	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1115	373.691326	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	1.340597	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.670298	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16559	5549.735132	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	2.010895	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5219	1749.143526	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	1.005448	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1959	656.557227	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	56	18.768354	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112769:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	10	3.351492	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	36	12.065370	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	30	10.054475	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	54	18.098055	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1927	645.832454	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5161	1729.704874	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	16531	5540.350955	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1174	393.465127	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	11	3.686641	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.670298	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	1.005448	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.335149	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	12	4.021790	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	52	17.427757	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	49	16.422309	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.670298	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	5	1.675746	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.335149	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.335149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.335149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	1.675746	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	11	3.686641	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	210	70.381326	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7461	2500.547969	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2410	807.709503	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	9195	3081.696632	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4936	1654.296311	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	2.681193	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.335149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.670298	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.335149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.670298	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.335149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.335149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.335149	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	1.005448	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	44	14.746564	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	1	0.335149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.335149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.335149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	7	2.346044	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	48	16.087160	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	51	17.092608	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	65	21.784696	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	4	1.340597	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	347	116.296763	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1710	573.105083	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1511	506.410398	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	10455	3503.984589	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	851	285.211945	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	12	4.021790	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	1	0.335149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	9	3.016343	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.335149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.335149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.335149	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539881-16539903:+	1	0.335149	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.335149	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	9	3.016343	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	81	27.147083	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	3	1.005448	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.335149	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	21	7.038133	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	102	34.185215	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	378	126.686387	N	mature,MIMAT0000065
