miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175980:+	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	1.453786	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.872272	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.616815	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	67	19.480737	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2249	653.913084	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5918	1720.701481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	18911	5498.510596	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	806	234.350354	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	32	9.304232	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.581515	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.290757	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176034:+	1	0.290757	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	1	0.290757	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	6	1.744544	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	14	4.070602	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.290757	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	8	2.326058	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.290757	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	9	2.616815	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	811	235.804140	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.581515	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	19009	5527.004808	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.163029	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5941	1727.388898	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.872272	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2325	676.010636	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	67	19.480737	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.290757	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	15	4.361359	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	40	11.630291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	31	9.013475	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	46	13.374834	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2411	701.015760	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	5931	1724.481325	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	18899	5495.021509	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	819	238.130198	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	2	0.581515	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.290757	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.872272	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	7	2.035301	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	15	4.361359	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	4	1.163029	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.290757	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.290757	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.290757	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.290757	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	2	0.581515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	1	0.290757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	3.779844	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	221	64.257355	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	7898	2296.400861	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2221	645.771881	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	7759	2255.985602	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2663	774.286591	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	2	0.581515	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.290757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.290757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.290757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	1	0.290757	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113766:+	17	4.942873	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.581515	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	2	0.581515	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	10	2.907573	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	6	1.744544	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	4	1.163029	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	13	3.779844	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	107	31.111027	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	91	26.458911	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	125	36.344658	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	5	1.453786	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	550	159.916495	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3108	903.673573	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2524	733.871331	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	19714	5731.988678	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1787	519.583229	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	25	7.268932	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	9	2.616815	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	1	0.290757	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.290757	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539874-16539899:+	1	0.290757	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	21	6.105903	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	90	26.168154	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	7	2.035301	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539907:+	1	0.290757	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	2	0.581515	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	20	5.815145	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	76	22.097552	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	263	76.469160	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	29	8.431961	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	4	1.163029	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	8	2.326058	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	8	2.326058	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	55	15.991649	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	291	84.610363	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	4	1.163029	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	19	5.524388	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	6	1.744544	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	6	1.744544	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	116	33.727842	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	627	182.304804	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1968	572.210293	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	90	26.168154	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	14	4.070602	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692837-51692859:+	2	0.581515	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692859:+	3	0.872272	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	19	5.524388	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	10	2.907573	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	8	2.326058	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	472	137.237428	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	2299	668.450947	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	10672	3102.961508	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	106	30.820270	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	4	1.163029	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176378:+	1	0.290757	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	2	0.581515	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176380:+	2	0.581515	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	3	0.872272	N	mature,MIMAT0004486
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	4	1.163029	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	598	173.872843	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	2	0.581515	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	10847	3153.844029	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	7	2.035301	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557267:-	1	0.290757	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	2358	685.605626	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	3	0.872272	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	447	129.968496	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557269:-	1	0.290757	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	14	4.070602	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	17	4.942873	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557268-53557287:-	1	0.290757	N	precursor
hsa-let-7g	hg38:chr3:52268278-52268301:-	3	0.872272	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	3	0.872272	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	8	2.326058	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268281-52268301:-	1	0.290757	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	66	19.189979	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	958	278.545458	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	7	2.035301	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	141	40.996774	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	13	3.779844	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	1	0.290757	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	1	0.290757	N	mature,MIMAT0000414
hsa-let-7i	hg38:chr12:62603691-62603711:+	1	0.290757	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	137	39.833745	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	75	21.806795	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	666	193.644337	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	4	1.163029	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603695-62603714:+	1	0.290757	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603767:+	3	0.872272	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	6	1.744544	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	20	5.815145	N	mature,MIMAT0004585
hsa-mir-100	hg38:chr11:122152240-122152262:-	2	0.581515	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152273-122152297:-	9	2.616815	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152296:-	1	0.290757	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	37	10.758019	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152295:-	1	0.290757	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	9	2.616815	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	2737	795.802628	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152292:-	1	0.290757	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	1	0.290757	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	37	10.758019	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	19826	5764.553491	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	14	4.070602	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152296:-	1	0.290757	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	131	38.089201	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	37	10.758019	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	16	4.652116	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152280-122152297:-	1	0.290757	N	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058439-65058463:-	1	0.290757	N	mature,MIMAT0000099
