miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.149963	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.149963	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.299927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	2.099486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	27	4.049009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	4	0.599853	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	140	20.994859	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4599	689.681132	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16602	2489.690399	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	51782	7765.398642	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	4002	600.153053	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	286	42.889499	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175989:+	1	0.149963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.299927	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.449890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.149963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.449890	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.149963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.149963	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.149963	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.149963	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.149963	N	stemloop
hsa-let-7a-1	hg38:chr9:94175997-94176020:+	1	0.149963	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.149963	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	0.899780	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	21	3.149229	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	24	3.599119	N	mature,MIMAT0004481
