miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	2.167524	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	3.612539	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.481672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	129	31.067838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4190	1009.102636	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11757	2831.508278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	33657	8105.815610	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1441	347.044606	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	60	14.450157	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.481672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	10	2.408360	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.481672	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	7	1.685852	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	2	0.481672	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	1.926688	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	26	6.261735	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	29	6.984243	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.240836	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	2.167524	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.963344	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.240836	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	11	2.649195	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1490	358.845567	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	0.963344	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	2.649195	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	33719	8120.747439	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.722508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	3	0.722508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11722	2823.079020	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.722508	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4201	1011.751831	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	103	24.806103	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.481672	Y	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	40	9.633438	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	62	14.931829	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	33	7.947586	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	126	30.345330	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4069	979.961486	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11577	2788.157807	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	33882	8160.003699	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1509	363.421450	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.481672	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	1.926688	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	4	0.963344	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.240836	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.722508	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	12	2.890031	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	22	5.298391	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.240836	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.722508	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	3	0.722508	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	2	0.481672	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	0.963344	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	15	3.612539	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	481	115.842093	N	mature,MIMAT0000063
