miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.914811	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	12	3.829623	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.319135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	60	19.148113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2218	707.841918	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5501	1755.562846	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	16305	5203.499764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1560	497.850943	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	198	63.188774	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.319135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.319135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.638270	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.319135	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176006:+	1	0.319135	N	stemloop
hsa-let-7a-1	hg38:chr9:94176010-94176033:+	1	0.319135	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176011-94176034:+	1	0.319135	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.957406	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	12.446274	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	42	13.403679	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.957406	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.595676	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.638270	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	31	9.893192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1487	474.554072	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.319135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	16519	5271.794702	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	4	1.276541	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.319135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.319135	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	5471	1745.988789	N	mature,MIMAT0000062
