miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.486816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	2	0.486816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	2	0.486816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	49	11.926999	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2115	514.808221	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4581	1115.052700	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	10305	2508.320907	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	510	124.138153	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	29	7.058836	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.243408	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.486816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.730224	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.486816	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	1.947265	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	45	10.953366	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	42	10.223142	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.243408	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.973633	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.730224	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.486816	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	5.598387	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.460449	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.486816	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146527-122146547:-	1	0.243408	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	7	1.703857	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	511	124.381561	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.243408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	1.217041	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	10403	2532.174905	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.243408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.486816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.243408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4574	1113.348843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.973633	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.243408	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2201	535.741321	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.486816	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	58	14.117672	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.243408	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.486816	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	24	5.841795	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	50	12.170407	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	26	6.328612	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	63	15.334713	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2080	506.288936	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4569	1112.131803	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	10270	2499.801622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	555	135.091519	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.243408	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.243408	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.730224	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	59	14.361080	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	40	9.736326	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	3	0.730224	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.243408	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.486816	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.243408	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112822:+	1	0.243408	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	3	0.730224	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.243408	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	0.973633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	13	3.164306	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	299	72.779035	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8846	2153.188428	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3148	766.248832	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8738	2126.900348	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	2725	663.287188	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	1	0.243408	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113710:+	1	0.243408	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.486816	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	1.460449	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.243408	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	1	0.243408	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	0.973633	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.243408	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	3	0.730224	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113763:+	1	0.243408	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	1.947265	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	46	11.196775	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.243408	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	4	0.973633	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.486816	N	mature,MIMAT0000064
