miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	2	0.187602	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.093801	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.562805	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	0.844207	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	28	2.626422	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	318	29.828654	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	9375	879.382491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	20974	1967.377958	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	44420	4166.631491	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1426	133.759939	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	59	5.534247	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.187602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.281402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	0.750406	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.281402	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.187602	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175991:+	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.093801	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176031:+	1	0.093801	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.281402	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	22	2.063618	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	22	2.063618	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.187602	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.281402	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	20	1.876016	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.562805	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.093801	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.187602	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.093801	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	18	1.688414	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1484	139.200386	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.281402	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	10	0.938008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	45209	4240.640322	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	14	1.313211	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	2	0.187602	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	20858	1956.497065	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	22	2.063618	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	9309	873.191638	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	15	1.407012	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	300	28.140240	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	4	0.375203	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	5	0.469004	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	2	0.187602	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	5	0.469004	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112772:+	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112750-46112774:+	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.187602	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	68	6.378454	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	126	11.818901	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	59	5.534247	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	247	23.168797	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	9487	889.888180	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	21280	1996.081003	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	44885	4210.248863	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1417	132.915732	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	11	1.031809	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.093801	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.281402	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	0.469004	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	26	2.438821	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	25	2.345020	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.093801	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.187602	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	3	0.281402	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.093801	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113711:+	1	0.093801	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	3	0.281402	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	1.313211	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	79	7.410263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	980	91.924783	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	23544	2208.446012	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	10641	998.134302	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	23211	2177.210345	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	5028	471.630417	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	3	0.281402	N	mature,MIMAT0000063
