miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.126097	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175981:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	0.756583	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	14	1.765361	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	2.143653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	335	42.242568	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7901	996.294129	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	23142	2918.141847	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	59508	7503.793320	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	4955	624.811721	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	457	57.626429	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175988:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	0.882681	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175986:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	4	0.504389	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	6	0.756583	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175985:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.126097	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	4	0.504389	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	23	2.900236	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	33	4.161208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.252194	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	1	0.126097	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.252194	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.252194	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.378292	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176035:+	1	0.126097	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.126097	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	2.900236	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.756583	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146588:-	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	51	6.430958	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	4959	625.316110	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	12	1.513167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	11	1.387069	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	59781	7538.217860	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	5	0.630486	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	4	0.504389	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	23317	2940.208860	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	12	1.513167	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146592:-	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7750	977.253449	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	5	0.630486	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	331	41.738180	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.252194	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.126097	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	3	0.378292	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	5	0.630486	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	56	7.061444	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	88	11.096555	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	26	3.278528	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	293	36.946485	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7901	996.294129	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	22971	2896.579222	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	59913	7554.862693	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	5012	631.999263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	9	1.134875	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.252194	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	0.756583	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.126097	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	6	0.756583	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	3	0.378292	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	18	2.269750	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	28	3.530722	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.126097	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.126097	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.252194	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.252194	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112823:+	1	0.126097	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	25	3.152430	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	90	11.348750	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	810	102.138748	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12454	1570.414768	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7191	906.765103	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	20935	2639.845284	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	9890	1247.101498	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	15	1.891458	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	6	0.756583	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	2	0.252194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113711:+	2	0.252194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	7	0.882681	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	2	0.252194	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	3	0.378292	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113712:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.126097	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113764:+	2	0.252194	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	21	2.648042	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	81	10.213875	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.126097	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.378292	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	12	1.513167	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	7	0.882681	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.126097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	2	0.252194	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	18	2.269750	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	165	20.806041	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	251	31.650402	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	166	20.932138	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	15	1.891458	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	1463	184.480232	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	7174	904.621450	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	8926	1125.543778	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	49180	6201.461240	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	10161	1281.273844	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	57	7.187541	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539863:+	1	0.126097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	4	0.504389	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	2	0.252194	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	38	4.791694	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	4	0.504389	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.126097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539861:+	1	0.126097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	4	0.504389	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539861:+	1	0.126097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.126097	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539843-16539860:+	2	0.252194	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539860-16539881:+	1	0.126097	N	stemloop
hsa-let-7c	hg38:chr21:16539879-16539900:+	1	0.126097	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539880-16539901:+	1	0.126097	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539880-16539905:+	1	0.126097	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.126097	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539905:+	1	0.126097	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539882-16539904:+	1	0.126097	N	mature,MIMAT0026472
