miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.334381	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.334381	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.668762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.337523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	7	2.340666	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	86	28.756752	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2443	816.892385	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	5998	2005.616261	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17363	5805.854473	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2170	725.606416	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	332	111.014438	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.334381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.668762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.334381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.668762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	10	3.343808	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	4	1.337523	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.334381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.334381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.334381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	2	0.668762	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.334381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175986:+	1	0.334381	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.334381	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	2	0.668762	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	3.009428	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	46	15.381519	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	5	1.671904	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	22	7.356378	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	1.337523	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.334381	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	42	14.043995	N	mature,MIMAT0000062
