miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.864716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	1.152954	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	21	6.053009	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	0.864716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	83	23.923797	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	2589	746.249513	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9002	2594.723102	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	26483	7633.420564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	4343	1251.819866	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	578	166.601861	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	0.576477	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.864716	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175986:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	8	2.305908	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	36	10.376587	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	58	16.717834	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	6	1.729431	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.864716	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146544:-	1	0.288239	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	5	1.441193	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.864716	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.288239	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	41	11.817779	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	2	0.576477	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	4320	1245.190380	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	27087	7807.516626	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	6	1.729431	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8969	2585.211231	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146592:-	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	2415	696.096011	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	72	20.753173	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	19	5.476532	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	46	13.258972	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	15	4.323578	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	2	0.576477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	75	21.617889	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	2554	736.161165	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9071	2614.611560	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	26699	7695.680083	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	4418	1273.437754	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	6	1.729431	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	2	0.576477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.864716	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.576477	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.288239	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112798-46112822:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	6	1.729431	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	55	15.853118	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	50	14.411926	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.576477	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.576477	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	1.152954	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112803-46112825:+	1	0.288239	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.288239	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	4.035339	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	22	6.341247	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	301	86.759793	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	6950	2003.257672	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	2205	635.565923	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	8504	2451.180322	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7088	2043.034587	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	8	2.305908	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.288239	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	3	0.864716	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.288239	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	1.152954	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	3	0.864716	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.576477	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113739-46113762:+	1	0.288239	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	11	3.170624	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	47	13.547210	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.288239	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	0.864716	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	8	2.305908	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	43	12.394256	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	57	16.429595	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	78	22.482604	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	6	1.729431	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	394	113.565974	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1772	510.758647	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	1672	481.934795	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	12644	3644.487770	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	3383	975.110893	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	34	9.800109	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	12	3.458862	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	3	0.864716	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.288239	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	1	0.288239	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	23	6.629486	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	156	44.965208	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	20	5.764770	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.288239	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178858:+	1	0.288239	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	4	1.152954	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	29	8.358917	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	68	19.600219	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	298	85.895077	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	109	31.417998	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	16	4.611816	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	1.441193	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178892-94178914:+	1	0.288239	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	18	5.188293	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	79	22.770843	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	486	140.083918	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	12	3.458862	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.288239	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	0.864716	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	18	5.188293	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	8	2.305908	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	5	1.441193	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	116	33.435668	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	475	136.913294	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	1485	428.034193	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	58	16.717834	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	5	1.441193	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692798-51692814:+	1	0.288239	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692838-51692859:+	5	1.441193	N	mature,MIMAT0004485
hsa-let-7e	hg38:chr19:51692838-51692860:+	27	7.782440	N	mature,MIMAT0004485
hsa-let-7f-1	hg38:chr9:94176353-94176370:+	3	0.864716	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176371:+	6	1.729431	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176372:+	17	4.900055	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176373:+	568	163.719476	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176374:+	3023	871.345028	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176375:+	13066	3766.124423	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176376:+	65	18.735503	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176377:+	6	1.729431	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176353-94176382:+	1	0.288239	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176374:+	1	0.288239	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176356-94176375:+	1	0.288239	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176358-94176379:+	1	0.288239	N	mature,MIMAT0000067
hsa-let-7f-1	hg38:chr9:94176409-94176430:+	3	0.864716	N	mature,MIMAT0004486
hsa-let-7f-1	hg38:chr9:94176430-94176449:+	1	0.288239	N	precursor
hsa-let-7f-1	hg38:chr9:94176430-94176456:+	1	0.288239	N	precursor
hsa-let-7f-2	hg38:chrX:53557197-53557218:-	3	0.864716	N	mature,MIMAT0004487
hsa-let-7f-2	hg38:chrX:53557244-53557267:-	1	0.288239	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557244-53557268:-	48	13.835449	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557245-53557268:-	1831	527.764719	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557264:-	1	0.288239	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557265:-	1	0.288239	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557268:-	12915	3722.600407	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557246-53557269:-	12	3.458862	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557268:-	3091	890.945247	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557247-53557269:-	4	1.152954	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557248-53557268:-	555	159.972375	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557249-53557268:-	25	7.205963	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557250-53557268:-	15	4.323578	N	mature,MIMAT0000067
hsa-let-7f-2	hg38:chrX:53557251-53557268:-	3	0.864716	N	mature,MIMAT0000067
hsa-let-7g	hg38:chr3:52268278-52268301:-	2	0.576477	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268279-52268301:-	2	0.576477	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268280-52268301:-	36	10.376587	N	mature,MIMAT0004584
hsa-let-7g	hg38:chr3:52268335-52268358:-	273	78.689114	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268335-52268359:-	4	1.152954	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268354:-	1	0.288239	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268358:-	1571	452.822705	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268336-52268359:-	19	5.476532	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268355:-	1	0.288239	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268358:-	274	78.977353	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268337-52268359:-	6	1.729431	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268338-52268358:-	19	5.476532	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268339-52268358:-	6	1.729431	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268340-52268358:-	2	0.576477	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268341-52268358:-	2	0.576477	N	mature,MIMAT0000414
hsa-let-7g	hg38:chr3:52268358-52268378:-	1	0.288239	N	precursor
hsa-let-7i	hg38:chr12:62603691-62603708:+	1	0.288239	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603711:+	2	0.576477	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603712:+	110	31.706237	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603713:+	123	35.453337	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603714:+	364	104.918819	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603691-62603715:+	1	0.288239	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603694-62603712:+	1	0.288239	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603696-62603714:+	1	0.288239	N	mature,MIMAT0000415
hsa-let-7i	hg38:chr12:62603747-62603766:+	1	0.288239	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603767:+	11	3.170624	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603768:+	14	4.035339	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603769:+	41	11.817779	N	mature,MIMAT0004585
hsa-let-7i	hg38:chr12:62603747-62603770:+	2	0.576477	N	mature,MIMAT0004585
hsa-mir-100	hg38:chr11:122152240-122152262:-	1	0.288239	N	mature,MIMAT0004512
hsa-mir-100	hg38:chr11:122152273-122152297:-	9	2.594147	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152296:-	2	0.576477	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152274-122152297:-	21	6.053009	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152296:-	5	1.441193	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152275-122152297:-	1703	490.870189	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152293:-	1	0.288239	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152295:-	1	0.288239	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152296:-	23	6.629486	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152297:-	10096	2910.056036	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152276-122152298:-	3	0.864716	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152277-122152297:-	86	24.788512	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152296:-	1	0.288239	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152278-122152297:-	26	7.494201	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152279-122152297:-	17	4.900055	N	mature,MIMAT0000098
hsa-mir-100	hg38:chr11:122152282-122152297:-	1	0.288239	Y	mature,MIMAT0000098
hsa-mir-101-1	hg38:chr1:65058439-65058463:-	2	0.576477	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058440-65058463:-	6	1.729431	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058459:-	1	0.288239	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058462:-	2	0.576477	N	mature,MIMAT0000099
hsa-mir-101-1	hg38:chr1:65058441-65058463:-	1366	393.733810	N	mature,MIMAT0000099
