miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	3	0.595449	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	4	0.793932	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	17	3.374210	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	105	20.840706	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3426	680.002469	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10542	2092.406897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	34285	6804.986764	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	4758	944.381713	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	747	148.266738	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	6	1.190897	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.396966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	2	0.396966	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175989:+	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.595449	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	1.786346	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	30	5.954487	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.198483	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.198483	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.396966	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.198483	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	9	1.786346	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	3	0.595449	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	63	12.504424	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	4776	947.954405	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	34205	6789.108131	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	10	1.984829	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.198483	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10715	2126.744442	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	4	0.793932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3560	706.599180	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.793932	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	93	18.458911	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.595449	N	precursor
