miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.106546	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.319638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	12	1.278551	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	28	2.983285	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	235	25.038282	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7212	768.408891	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	24227	2581.287049	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	67475	7189.183292	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2545	271.159266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	102	10.867680	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	3	0.319638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	8	0.852367	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.213092	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.319638	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176032:+	1	0.106546	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.319638	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	2.024372	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	41	4.368381	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.106546	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.106546	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146521-122146545:-	1	0.106546	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.106546	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	2.450555	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.213092	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	3	0.319638	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.106546	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146548:-	1	0.106546	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	46	4.901111	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2535	270.093807	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	2	0.213092	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	7	0.745821	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	16	1.704734	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	68310	7278.149102	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	9	0.958913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	6	0.639275	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	24013	2558.486230	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	12	1.278551	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	7327	780.661667	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	8	0.852367	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	229	24.399007	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.106546	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.319638	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	42	4.474927	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	85	9.056400	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	61	6.499299	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	232	24.718644	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	7239	771.285629	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	24239	2582.565599	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	67972	7242.136594	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2539	270.519991	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.213092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112772:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	16	1.704734	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	2	0.213092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112776:+	1	0.106546	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.213092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.319638	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	7	0.745821	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	24	2.557101	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	35	3.729106	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.106546	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	4	0.426184	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.106546	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.106546	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113711:+	3	0.319638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.106546	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	0.532729	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	54	5.753478	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	687	73.197020	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	17858	1902.696335	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	9105	970.100243	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	24954	2658.745904	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	7519	801.118476	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	7	0.745821	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	2	0.213092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	6	0.639275	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	3	0.319638	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.213092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.213092	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113712:+	1	0.106546	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.106546	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.106546	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113718:+	1	0.106546	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	0.852367	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	93	9.908767	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.213092	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	3	0.319638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	11	1.172005	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	4	0.426184	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.106546	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	19	2.024372	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	128	13.637873	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	166	17.686616	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	132	14.064056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	5	0.532729	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	854	90.990182	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	5879	626.383232	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	6595	702.670082	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	36675	3907.570170	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	1824	194.339686	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	17	1.811280	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	1	0.106546	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	4	0.426184	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	26	2.770193	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.213092	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	3	0.319638	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539861:+	1	0.106546	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539878-16539900:+	1	0.106546	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539904:+	1	0.106546	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539881-16539905:+	1	0.106546	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.213092	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	22	2.344009	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	63	6.712390	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	7	0.745821	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539905:+	1	0.106546	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	2	0.213092	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178840-94178861:+	1	0.106546	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178840-94178862:+	1	0.106546	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178859:+	2	0.213092	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178860:+	3	0.319638	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	95	10.121859	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	273	29.087025	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	864	92.055641	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	86	9.162946	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	1	0.106546	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	2	0.213092	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.106546	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	7	0.745821	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	2	0.213092	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	3	0.319638	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178915:+	16	1.704734	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	177	18.858621	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	788	83.958154	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	3	0.319638	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.106546	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	3	0.319638	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	34	3.622560	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692792-51692815:+	1	0.106546	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692810:+	5	0.532729	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692811:+	22	2.344009	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	30	3.196376	N	mature,MIMAT0000066
