miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	6	1.033960	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	23	3.963514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	127	21.885492	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3778	651.050305	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10548	1817.702123	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	30878	5321.104111	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1302	224.369375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	53	9.133316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	4	0.689307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	2	0.344653	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.689307	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.172327	N	stemloop
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.344653	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.516980	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	37	6.376088	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	61	10.511929	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	4	0.689307	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	9	1.550940	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176037:+	1	0.172327	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.172327	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	1	0.172327	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	23	3.963514	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	5	0.861634	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.172327	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146546-122146568:-	1	0.172327	N	stemloop
hsa-let-7a-2	hg38:chr11:122146562-122146585:-	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	23	3.963514	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1269	218.682593	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146585:-	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	4	0.689307	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	2	0.344653	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	30808	5309.041241	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	8	1.378614	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.516980	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10588	1824.595192	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.033960	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3632	625.890606	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146589:-	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	116	19.989898	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146592:-	1	0.172327	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.172327	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.344653	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	24	4.135841	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	107	18.438958	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	67	11.545889	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	111	19.128265	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	3709	639.159763	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10789	1859.232860	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	30820	5311.109162	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1248	215.063732	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	5	0.861634	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	3	0.516980	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112773:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.172327	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	0.861634	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	35	6.031435	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	73	12.579850	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.172327	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.172327	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	3	0.516980	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	7	1.206287	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	2	0.344653	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113669-46113691:+	1	0.172327	N	precursor
hsa-let-7b	hg38:chr22:46113670-46113691:+	1	0.172327	N	precursor
hsa-let-7b	hg38:chr22:46113672-46113691:+	1	0.172327	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.172327	N	precursor
hsa-let-7b	hg38:chr22:46113690-46113712:+	1	0.172327	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113690-46113713:+	1	0.172327	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	4	0.689307	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	35	6.031435	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	565	97.364590	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	17363	2992.108643	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6532	1125.638061	N	mature,MIMAT0000063
