miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.230056	N	precursor
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.230056	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	3	0.690168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	2.070505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.070505	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	114	26.226401	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4051	931.957444	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	9866	2269.733929	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	23533	5413.911265	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1182	271.926364	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	62	14.263481	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.690168	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	4	0.920225	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176007:+	1	0.230056	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	0.690168	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	12	2.760674	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	7	1.610393	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.460112	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.230056	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.460112	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	6	1.380337	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	2	0.460112	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	2	0.460112	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.230056	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146546:-	1	0.230056	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	17	3.910954	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1189	273.536757	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	23864	5490.059849	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.690168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	9968	2293.199655	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.690168	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4081	938.859129	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	114	26.226401	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.230056	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.230056	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146611:-	1	0.230056	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.230056	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	1	0.230056	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	23	5.291291	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	48	11.042695	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	8	1.840449	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	117	26.916569	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4023	925.515872	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	9811	2257.080841	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	23485	5402.868570	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1159	266.635072	N	mature,MIMAT0000062
