miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	4	0.547567	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	16	2.190266	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	20	2.737833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.136892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	270	36.960743	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	7949	1088.151645	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	21905	2998.611371	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	61355	8398.986564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	5230	715.943276	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	540	73.921486	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	1	0.136892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175981:+	1	0.136892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	5	0.684458	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.136892	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175984:+	2	0.273783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	8	1.095133	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	20	2.737833	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	2	0.273783	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.136892	N	mature,MIMAT0000062
