miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	2.053253	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	11	2.509531	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	150	34.220878	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3912	892.480509	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	11117	2536.223370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	27703	6320.139968	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1426	325.326484	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	108	24.639032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	3	0.684418	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	2	0.456278	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	1.368835	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	16	3.650227	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	13	2.965809	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.228139	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	0.684418	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	2.509531	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.368835	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146589:-	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	3.422088	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1438	328.064155	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	0.456278	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	27796	6341.356913	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	11093	2530.748030	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	3	0.684418	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146587:-	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4026	918.488377	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	157	35.817853	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	3	0.684418	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	3	0.684418	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	24	5.475341	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	35	7.984872	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	17	3.878366	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	126	28.745538	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4026	918.488377	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	11331	2585.045157	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	27562	6287.972342	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1423	324.642067	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.456278	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	5	1.140696	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112772:+	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.228139	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	9	2.053253	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	22	5.019062	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	16	3.650227	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	2	0.456278	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.228139	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.228139	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	10	2.281392	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	47	10.722542	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	587	133.917704	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	12167	2775.769519	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3864	881.529828	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	10200	2327.019733	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3443	785.483230	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	5	1.140696	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	1	0.228139	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	1	0.228139	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	1	0.228139	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	2	0.456278	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.228139	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	0.456278	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.228139	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	3	0.684418	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	24	5.475341	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	1	0.228139	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	2	0.456278	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	1	0.228139	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	12	2.737670	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	82	18.707414	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	57	13.003934	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	34	7.756732	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.228139	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	787	179.545542	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	4266	973.241783	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	2993	682.820594	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	16293	3717.071815	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	983	224.260823	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	8	1.825114	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	2	0.456278	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	14	3.193949	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.456278	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539841-16539860:+	1	0.228139	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.228139	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539883-16539903:+	2	0.456278	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	6	1.368835	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	38	8.669289	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.228139	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178860:+	1	0.228139	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	47	10.722542	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	104	23.726476	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	358	81.673830	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	48	10.950681	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	2	0.456278	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	3	0.684418	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178864:+	1	0.228139	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	15	3.422088	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	83	18.935553	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	269	61.369442	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178915:+	1	0.228139	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178916:+	4	0.912557	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	14	3.193949	N	mature,MIMAT0004484
hsa-let-7e	hg38:chr19:51692793-51692811:+	24	5.475341	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692812:+	18	4.106505	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692813:+	296	67.529200	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692814:+	1210	276.048419	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692815:+	3009	686.470821	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692816:+	79	18.022996	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692793-51692817:+	10	2.281392	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692794-51692815:+	1	0.228139	N	mature,MIMAT0000066
hsa-let-7e	hg38:chr19:51692836-51692856:+	1	0.228139	N	mature,MIMAT0004485
