miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	7	1.638726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	7	1.638726	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	2.106934	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	1	0.234104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	109	25.517311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	3608	844.646398	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	8107	1897.879254	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	24129	5648.689838	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1863	436.135321	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	226	52.907452	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	3	0.702311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.234104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	3	0.702311	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	1	0.234104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.234104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.234104	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	7	1.638726	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	10	2.341038	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	4.916179	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.468208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	1	0.234104	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.468208	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.234104	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	11	2.575141	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.404623	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.234104	N	stemloop
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	39	9.130047	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146589:-	3	0.702311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1847	432.389661	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.702311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	1	0.234104	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	24061	5632.770782	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	0.468208	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	8036	1881.257886	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	5	1.170519	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	3534	827.322719	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	3	0.702311	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	93	21.771651	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.234104	N	precursor
hsa-let-7a-3	hg38:chr22:46112750-46112773:+	1	0.234104	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	27	6.320802	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	51	11.939292	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	34	7.959528	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.234104	N	mature,MIMAT0000062
