miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	5	0.614273	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	3	0.368564	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	8	0.982837	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	123	15.111113	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	5497	675.331600	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	13709	1684.213371	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	34679	4260.473813	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1110	136.368578	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	35	4.299910	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	2	0.245709	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	6	0.737127	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	13	1.597109	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	1	0.122855	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	6	0.737127	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	55	6.757002	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	59	7.248420	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	2	0.245709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	3	0.368564	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.245709	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.122855	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146544:-	1	0.122855	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	13	1.597109	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	0.737127	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	2	0.245709	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146547:-	1	0.122855	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146547-122146568:-	1	0.122855	N	stemloop
hsa-let-7a-2	hg38:chr11:122146564-122146585:-	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	8	0.982837	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1117	137.228560	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	3	0.368564	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.105691	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	34332	4217.843276	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	3	0.368564	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146589:-	2	0.245709	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	13776	1692.444628	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	0.859982	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146589:-	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	5668	696.339732	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	4	0.491418	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	116	14.251131	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.122855	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.245709	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	43	5.282747	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	95	11.671185	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	41	5.037038	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	127	15.602531	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	5564	683.562856	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	13929	1711.241378	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	34399	4226.074532	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1136	139.562797	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	2	0.245709	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	8	0.982837	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112775:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	3	0.368564	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.245709	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.122855	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112819:+	1	0.122855	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	0.614273	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	41	5.037038	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	49	6.019874	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	2	0.245709	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.122855	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.122855	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.245709	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112824:+	1	0.122855	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112823:+	1	0.122855	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112802-46112824:+	1	0.122855	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113690-46113713:+	3	0.368564	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	6	0.737127	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	31	3.808492	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	580	71.255654	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	16299	2002.406721	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	7153	878.778776	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	16449	2020.834907	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3840	471.761569	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	4	0.491418	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	5	0.614273	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113712:+	2	0.245709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	9	1.105691	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	2	0.245709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	4	0.491418	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	2	0.245709	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	1	0.122855	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	1	0.122855	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.122855	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.122855	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	12	1.474255	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	80	9.828366	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539857:+	6	0.737127	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539858:+	16	1.965673	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539859:+	5	0.614273	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	22	2.702801	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	124	15.233967	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	135	16.585368	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	70	8.599820	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	1	0.122855	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	838	102.952134	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	5865	720.542084	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	5319	653.463485	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	25977	3191.393300	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	889	109.217717	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	9	1.105691	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539857:+	1	0.122855	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539858:+	3	0.368564	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539859:+	3	0.368564	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	34	4.177056	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539861:+	2	0.245709	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539840-16539860:+	1	0.122855	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539842-16539860:+	1	0.122855	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539844-16539860:+	1	0.122855	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539880-16539900:+	1	0.122855	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539901:+	1	0.122855	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539902:+	1	0.122855	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539903:+	5	0.614273	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	37	4.545619	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	137	16.831077	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	6	0.737127	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.122855	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178859:+	3	0.368564	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178861:+	70	8.599820	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	229	28.133698	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	612	75.187000	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	41	5.037038	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178861:+	1	0.122855	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	3	0.368564	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	5	0.614273	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178914:+	1	0.122855	N	mature,MIMAT0004484
