miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175942-94175962:+	1	0.184263	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	6	1.105580	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	9	1.658370	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	15	2.763949	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	160	29.482126	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	4273	787.357032	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	10501	1934.948794	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	28149	5186.827312	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	1125	207.296200	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	47	8.660375	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175982:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	7	1.289843	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175986:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175983:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.552790	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	5	0.921316	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175985:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176009-94176031:+	2	0.368527	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	10	1.842633	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	19	3.501002	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	15	2.763949	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176034:+	2	0.368527	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.368527	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	2	0.368527	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	2	0.368527	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	15	2.763949	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	6	1.105580	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146525-122146545:-	1	0.184263	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146526-122146545:-	1	0.184263	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	15	2.763949	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146586:-	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	1151	212.087045	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	3	0.552790	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	11	2.026896	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	9	1.658370	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	28448	5241.922036	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	7	1.289843	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146586:-	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	10450	1925.551366	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	6	1.105580	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	4083	752.347008	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	140	25.796860	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	1	0.184263	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.184263	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	2	0.368527	N	precursor
hsa-let-7a-2	hg38:chr11:122146590-122146614:-	1	0.184263	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	30	5.527899	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	76	14.004010	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	35	6.449215	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	149	27.455230	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	4295	791.410825	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	10400	1916.338202	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	28229	5201.568375	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	1138	209.691622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112773:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	6	1.105580	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	4	0.737053	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	6	1.105580	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	2	0.368527	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112758-46112775:+	1	0.184263	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	2	0.368527	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	23	4.238056	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	18	3.316739	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.184263	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112821:+	1	0.184263	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	1	0.184263	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113688-46113713:+	1	0.184263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113708:+	14	2.579686	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	32	5.896425	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	447	82.365690	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	8990	1656.526965	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	3670	676.246269	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	11176	2059.326514	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	3506	646.027090	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	9	1.658370	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.184263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113714:+	2	0.368527	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	9	1.658370	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	6	1.105580	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	6	1.105580	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	5	0.921316	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.184263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.184263	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	7	1.289843	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	1.474106	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	62	11.424324	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	1	0.184263	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113746-46113766:+	1	0.184263	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	6	1.105580	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539856:+	1	0.184263	Y	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	14	2.579686	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	104	19.163382	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	67	12.345640	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	70	12.898430	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	821	151.280160	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	3806	701.306077	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	3614	665.927525	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	16150	2975.852112	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	749	138.013203	N	mature,MIMAT0000064
