miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175943-94175962:+	1	0.142328	N	precursor
hsa-let-7a-1	hg38:chr9:94175961-94175982:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	11	1.565611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	10	1.423282	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	3	0.426985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	230	32.735493	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	6194	881.581062	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	16634	2367.487791	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	38036	5413.596587	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2298	327.070274	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	133	18.929655	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175983:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175984:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175982:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175983:+	3	0.426985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175984:+	11	1.565611	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175983:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	3	0.426985	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175967-94175984:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175969-94175985:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175984-94176008:+	2	0.284656	N	stemloop
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	12	1.707939	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	39	5.550801	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	36	5.123816	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	5	0.711641	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	2	0.284656	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	1	0.142328	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176015-94176036:+	1	0.142328	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146522-122146545:-	3	0.426985	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	16	2.277252	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	4	0.569313	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146546:-	1	0.142328	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	33	4.696832	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146583:-	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2178	309.990887	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146591:-	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	6	0.853969	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	5	0.711641	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146588:-	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146589:-	5	0.711641	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	38200	5436.938417	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146587:-	3	0.426985	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146588:-	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	16521	2351.404701	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146591:-	7	0.996298	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146592:-	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	6001	854.111713	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	194	27.611677	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146591:-	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146572-122146591:-	2	0.284656	Y	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146610:-	1	0.142328	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112770:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112771:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	23	3.273549	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	42	5.977786	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	30	4.269847	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	203	28.892631	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	6005	854.681026	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	16537	2353.681953	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	38525	5483.195092	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2167	308.425276	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112777:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112754-46112774:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112772:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112773:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	5	0.711641	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112775:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112773:+	2	0.284656	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	4	0.569313	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112757-46112774:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112759-46112775:+	1	0.142328	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	10	1.423282	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	28	3.985190	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	50	7.116412	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.142328	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	2	0.284656	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113671-46113691:+	2	0.284656	N	precursor
hsa-let-7b	hg38:chr22:46113673-46113691:+	1	0.142328	N	precursor
hsa-let-7b	hg38:chr22:46113691-46113708:+	22	3.131221	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	68	9.678320	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	760	108.169455	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	19329	2751.062373	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	6799	967.689641	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	21373	3041.981277	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	9190	1307.996441	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	10	1.423282	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113720:+	1	0.142328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113711:+	1	0.142328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113713:+	10	1.423282	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113693-46113713:+	2	0.284656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113711:+	2	0.284656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113712:+	1	0.142328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113713:+	7	0.996298	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	15	2.134923	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113711:+	1	0.142328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113713:+	7	0.996298	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	6	0.853969	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113713:+	1	0.142328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113696-46113714:+	2	0.284656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113713:+	2	0.284656	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113697-46113714:+	1	0.142328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113698-46113714:+	1	0.142328	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113730-46113751:+	1	0.142328	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	8	1.138626	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	106	15.086792	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113767:+	2	0.284656	N	mature,MIMAT0004482
