miRNA_ID	isoform_coords	read_count	reads_per_million_miRNA_mapped	cross-mapped	miRNA_region
hsa-let-7a-1	hg38:chr9:94175961-94175983:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175984:+	9	4.532060	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175961-94175985:+	2	1.007124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175981:+	37	18.631801	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175982:+	1286	647.580988	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175983:+	4675	2354.153280	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175984:+	17344	8733.782779	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175985:+	2653	1335.950514	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175986:+	347	174.736083	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175962-94175987:+	2	1.007124	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175963-94175985:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175964-94175982:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175965-94175986:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94175966-94175984:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-1	hg38:chr9:94176013-94176033:+	3	1.510687	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176034:+	9	4.532060	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176035:+	21	10.574806	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176013-94176036:+	1	0.503562	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176033:+	2	1.007124	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176035:+	1	0.503562	N	mature,MIMAT0004481
hsa-let-7a-1	hg38:chr9:94176014-94176036:+	3	1.510687	N	mature,MIMAT0004481
hsa-let-7a-2	hg38:chr11:122146523-122146545:-	1	0.503562	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146524-122146545:-	1	0.503562	N	mature,MIMAT0010195
hsa-let-7a-2	hg38:chr11:122146566-122146590:-	52	26.185234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146587:-	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146567-122146590:-	2648	1333.432703	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146586:-	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146587:-	2	1.007124	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146590:-	17335	8729.250720	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146568-122146591:-	2	1.007124	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146569-122146590:-	4486	2258.980025	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146590:-	1295	652.113048	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146570-122146591:-	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146571-122146590:-	52	26.185234	N	mature,MIMAT0000062
hsa-let-7a-2	hg38:chr11:122146590-122146612:-	1	0.503562	N	precursor
hsa-let-7a-3	hg38:chr22:46112751-46112772:+	10	5.035622	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112773:+	34	17.121115	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112774:+	18	9.064120	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112751-46112775:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112771:+	45	22.660299	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112772:+	1311	660.170043	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112773:+	4470	2250.923030	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112774:+	17528	8826.438224	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112775:+	2549	1283.580045	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112776:+	3	1.510687	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112752-46112778:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112753-46112774:+	2	1.007124	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112755-46112774:+	2	1.007124	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112756-46112774:+	1	0.503562	N	mature,MIMAT0000062
hsa-let-7a-3	hg38:chr22:46112800-46112820:+	5	2.517811	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112821:+	16	8.056995	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112822:+	13	6.546309	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112800-46112823:+	1	0.503562	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112820:+	1	0.503562	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112822:+	1	0.503562	N	mature,MIMAT0004481
hsa-let-7a-3	hg38:chr22:46112801-46112823:+	4	2.014249	N	mature,MIMAT0004481
hsa-let-7b	hg38:chr22:46113691-46113708:+	5	2.517811	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113709:+	12	6.042746	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113710:+	220	110.783684	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113711:+	5034	2534.932110	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113712:+	1385	697.433646	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113713:+	6048	3045.544180	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113714:+	4597	2314.875429	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113715:+	11	5.539184	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113691-46113716:+	1	0.503562	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113692-46113714:+	1	0.503562	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113694-46113714:+	1	0.503562	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113695-46113714:+	2	1.007124	N	mature,MIMAT0000063
hsa-let-7b	hg38:chr22:46113743-46113766:+	1	0.503562	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113765:+	4	2.014249	N	mature,MIMAT0004482
hsa-let-7b	hg38:chr22:46113745-46113766:+	24	12.085493	N	mature,MIMAT0004482
hsa-let-7c	hg38:chr21:16539836-16539858:+	3	1.510687	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539836-16539860:+	1	0.503562	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539857:+	2	1.007124	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539858:+	35	17.624677	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539859:+	41	20.646050	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539860:+	46	23.163861	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539837-16539861:+	10	5.035622	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539857:+	205	103.230251	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539858:+	1095	551.400608	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539859:+	962	484.426835	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539860:+	8584	4322.577916	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539861:+	2925	1472.919432	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539838-16539862:+	30	15.106866	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539839-16539860:+	5	2.517811	N	mature,MIMAT0000064
hsa-let-7c	hg38:chr21:16539879-16539900:+	1	0.503562	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539904:+	7	3.524935	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539905:+	12	6.042746	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539883-16539906:+	4	2.014249	N	mature,MIMAT0026472
hsa-let-7c	hg38:chr21:16539884-16539906:+	1	0.503562	N	mature,MIMAT0026472
hsa-let-7d	hg38:chr9:94178841-94178861:+	5	2.517811	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178862:+	25	12.589055	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178863:+	160	80.569952	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178864:+	51	25.681672	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178841-94178865:+	5	2.517811	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178862:+	1	0.503562	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178842-94178863:+	4	2.014249	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178846-94178865:+	1	0.503562	N	mature,MIMAT0000065
hsa-let-7d	hg38:chr9:94178895-94178915:+	4	2.014249	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178916:+	47	23.667423	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178917:+	262	131.933296	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178895-94178918:+	1	0.503562	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178896-94178917:+	9	4.532060	N	mature,MIMAT0004484
hsa-let-7d	hg38:chr9:94178897-94178917:+	1	0.503562	N	mature,MIMAT0004484
